Fecha,Hora,Precio_COP_kWh
2023-01-01,1,510.9
2023-01-01,2,510.9
2023-01-01,3,510.9
2023-01-01,4,510.9
2023-01-01,5,510.9
2023-01-01,6,510.9
2023-01-01,7,451.9
2023-01-01,8,451.9
2023-01-01,9,451.9
2023-01-01,10,451.9
2023-01-01,11,451.9
2023-01-01,12,510.9
2023-01-01,13,510.9
2023-01-01,14,510.9
2023-01-01,15,510.9
2023-01-01,16,510.9
2023-01-01,17,510.9
2023-01-01,18,510.9
2023-01-01,19,518.4
2023-01-01,20,518.4
2023-01-01,21,518.4
2023-01-01,22,518.4
2023-01-01,23,510.9
2023-01-01,24,510.9
2023-01-02,1,509.35
2023-01-02,2,509.35
2023-01-02,3,509.35
2023-01-02,4,509.35
2023-01-02,5,509.35
2023-01-02,6,509.35
2023-01-02,7,509.35
2023-01-02,8,509.35
2023-01-02,9,510.85
2023-01-02,10,510.85
2023-01-02,11,510.85
2023-01-02,12,510.85
2023-01-02,13,512.35
2023-01-02,14,512.35
2023-01-02,15,512.35
2023-01-02,16,512.35
2023-01-02,17,512.35
2023-01-02,18,510.85
2023-01-02,19,512.35
2023-01-02,20,512.35
2023-01-02,21,512.35
2023-01-02,22,512.35
2023-01-02,23,510.85
2023-01-02,24,510.85
2023-01-03,1,509.47
2023-01-03,2,509.47
2023-01-03,3,509.47
2023-01-03,4,509.47
2023-01-03,5,509.47
2023-01-03,6,509.47
2023-01-03,7,509.47
2023-01-03,8,509.47
2023-01-03,9,513.47
2023-01-03,10,513.47
2023-01-03,11,541.97
2023-01-03,12,541.97
2023-01-03,13,541.97
2023-01-03,14,561.47
2023-01-03,15,561.47
2023-01-03,16,561.47
2023-01-03,17,561.47
2023-01-03,18,541.97
2023-01-03,19,561.47
2023-01-03,20,561.47
2023-01-03,21,541.97
2023-01-03,22,541.97
2023-01-03,23,513.47
2023-01-03,24,509.47
2023-01-04,1,552.35
2023-01-04,2,552.35
2023-01-04,3,552.35
2023-01-04,4,541.35
2023-01-04,5,541.35
2023-01-04,6,552.35
2023-01-04,7,552.35
2023-01-04,8,552.35
2023-01-04,9,552.35
2023-01-04,10,561.35
2023-01-04,11,560.35
2023-01-04,12,561.35
2023-01-04,13,561.35
2023-01-04,14,561.35
2023-01-04,15,561.35
2023-01-04,16,561.35
2023-01-04,17,561.35
2023-01-04,18,560.35
2023-01-04,19,562.35
2023-01-04,20,562.35
2023-01-04,21,562.35
2023-01-04,22,561.35
2023-01-04,23,552.35
2023-01-04,24,560.35
2023-01-05,1,556.33
2023-01-05,2,556.33
2023-01-05,3,556.33
2023-01-05,4,556.33
2023-01-05,5,556.33
2023-01-05,6,556.33
2023-01-05,7,556.33
2023-01-05,8,556.33
2023-01-05,9,556.33
2023-01-05,10,561.83
2023-01-05,11,561.83
2023-01-05,12,561.83
2023-01-05,13,561.83
2023-01-05,14,561.83
2023-01-05,15,561.83
2023-01-05,16,561.83
2023-01-05,17,561.83
2023-01-05,18,561.83
2023-01-05,19,576.33
2023-01-05,20,576.33
2023-01-05,21,561.83
2023-01-05,22,561.83
2023-01-05,23,561.83
2023-01-05,24,561.83
2023-01-06,1,491.48
2023-01-06,2,491.48
2023-01-06,3,450.38
2023-01-06,4,451.38
2023-01-06,5,451.38
2023-01-06,6,486.38
2023-01-06,7,491.48
2023-01-06,8,496.38
2023-01-06,9,496.38
2023-01-06,10,550.88
2023-01-06,11,550.88
2023-01-06,12,557.38
2023-01-06,13,557.38
2023-01-06,14,557.38
2023-01-06,15,557.38
2023-01-06,16,557.38
2023-01-06,17,557.38
2023-01-06,18,557.38
2023-01-06,19,557.38
2023-01-06,20,557.38
2023-01-06,21,557.38
2023-01-06,22,557.38
2023-01-06,23,550.88
2023-01-06,24,550.88
2023-01-07,1,498.56
2023-01-07,2,498.56
2023-01-07,3,498.56
2023-01-07,4,495.36
2023-01-07,5,495.36
2023-01-07,6,495.36
2023-01-07,7,495.36
2023-01-07,8,498.56
2023-01-07,9,498.56
2023-01-07,10,498.56
2023-01-07,11,498.56
2023-01-07,12,498.56
2023-01-07,13,501.36
2023-01-07,14,498.56
2023-01-07,15,498.56
2023-01-07,16,498.56
2023-01-07,17,498.56
2023-01-07,18,498.56
2023-01-07,19,558.56
2023-01-07,20,558.56
2023-01-07,21,501.36
2023-01-07,22,498.56
2023-01-07,23,498.56
2023-01-07,24,498.56
2023-01-08,1,421.89
2023-01-08,2,416.6
2023-01-08,3,410.81
2023-01-08,4,390.81
2023-01-08,5,351.81
2023-01-08,6,308.75
2023-01-08,7,308.75
2023-01-08,8,308.75
2023-01-08,9,351.81
2023-01-08,10,410.81
2023-01-08,11,410.81
2023-01-08,12,410.81
2023-01-08,13,421.89
2023-01-08,14,421.89
2023-01-08,15,421.89
2023-01-08,16,421.89
2023-01-08,17,421.89
2023-01-08,18,422.79
2023-01-08,19,499.31
2023-01-08,20,499.31
2023-01-08,21,499.31
2023-01-08,22,499.31
2023-01-08,23,495.81
2023-01-08,24,453.41
2023-01-09,1,407.55
2023-01-09,2,407.29
2023-01-09,3,390.97
2023-01-09,4,331.86
2023-01-09,5,378.53
2023-01-09,6,331.86
2023-01-09,7,217.89
2023-01-09,8,331.86
2023-01-09,9,407.55
2023-01-09,10,410.97
2023-01-09,11,481.47
2023-01-09,12,481.47
2023-01-09,13,483.97
2023-01-09,14,483.97
2023-01-09,15,483.97
2023-01-09,16,483.97
2023-01-09,17,483.97
2023-01-09,18,483.97
2023-01-09,19,483.97
2023-01-09,20,483.97
2023-01-09,21,483.97
2023-01-09,22,483.97
2023-01-09,23,483.97
2023-01-09,24,481.47
2023-01-10,1,125.11
2023-01-10,2,125.61
2023-01-10,3,125.61
2023-01-10,4,125.11
2023-01-10,5,125.85
2023-01-10,6,126.11
2023-01-10,7,381.66
2023-01-10,8,410.68
2023-01-10,9,474.11
2023-01-10,10,474.11
2023-01-10,11,484.11
2023-01-10,12,484.11
2023-01-10,13,484.11
2023-01-10,14,484.11
2023-01-10,15,486.11
2023-01-10,16,486.11
2023-01-10,17,484.11
2023-01-10,18,484.11
2023-01-10,19,486.11
2023-01-10,20,486.11
2023-01-10,21,486.11
2023-01-10,22,474.11
2023-01-10,23,455.11
2023-01-10,24,410.68
2023-01-11,1,401.56
2023-01-11,2,401.56
2023-01-11,3,331.45
2023-01-11,4,401.56
2023-01-11,5,401.56
2023-01-11,6,401.56
2023-01-11,7,410.56
2023-01-11,8,454.56
2023-01-11,9,461.68
2023-01-11,10,461.68
2023-01-11,11,461.68
2023-01-11,12,461.68
2023-01-11,13,461.68
2023-01-11,14,461.68
2023-01-11,15,461.68
2023-01-11,16,461.68
2023-01-11,17,461.68
2023-01-11,18,461.68
2023-01-11,19,461.68
2023-01-11,20,461.68
2023-01-11,21,461.68
2023-01-11,22,461.68
2023-01-11,23,456.56
2023-01-11,24,410.56
2023-01-12,1,129.09
2023-01-12,2,129.09
2023-01-12,3,129.09
2023-01-12,4,129.09
2023-01-12,5,129.19
2023-01-12,6,129.19
2023-01-12,7,130.09
2023-01-12,8,131.09
2023-01-12,9,409.09
2023-01-12,10,409.09
2023-01-12,11,409.09
2023-01-12,12,409.09
2023-01-12,13,428.09
2023-01-12,14,428.09
2023-01-12,15,428.09
2023-01-12,16,428.09
2023-01-12,17,428.09
2023-01-12,18,409.09
2023-01-12,19,409.09
2023-01-12,20,428.09
2023-01-12,21,428.09
2023-01-12,22,408.09
2023-01-12,23,369.09
2023-01-12,24,225.01
2023-01-13,1,123.99
2023-01-13,2,123.99
2023-01-13,3,123.99
2023-01-13,4,123.99
2023-01-13,5,123.99
2023-01-13,6,123.99
2023-01-13,7,126.99
2023-01-13,8,263.42
2023-01-13,9,263.42
2023-01-13,10,263.42
2023-01-13,11,263.42
2023-01-13,12,331.87
2023-01-13,13,331.87
2023-01-13,14,331.87
2023-01-13,15,356.99
2023-01-13,16,356.99
2023-01-13,17,356.99
2023-01-13,18,263.42
2023-01-13,19,356.99
2023-01-13,20,399.99
2023-01-13,21,356.99
2023-01-13,22,263.42
2023-01-13,23,263.42
2023-01-13,24,263.42
2023-01-14,1,221.85
2023-01-14,2,221.85
2023-01-14,3,217.77
2023-01-14,4,217.77
2023-01-14,5,217.77
2023-01-14,6,221.85
2023-01-14,7,221.85
2023-01-14,8,252.76
2023-01-14,9,252.76
2023-01-14,10,252.76
2023-01-14,11,252.76
2023-01-14,12,263.85
2023-01-14,13,263.85
2023-01-14,14,263.85
2023-01-14,15,252.76
2023-01-14,16,252.76
2023-01-14,17,252.76
2023-01-14,18,252.76
2023-01-14,19,263.85
2023-01-14,20,361.85
2023-01-14,21,263.85
2023-01-14,22,252.76
2023-01-14,23,252.76
2023-01-14,24,252.76
2023-01-15,1,195.94
2023-01-15,2,195.94
2023-01-15,3,127.94
2023-01-15,4,127.94
2023-01-15,5,127.94
2023-01-15,6,127.94
2023-01-15,7,127.94
2023-01-15,8,127.94
2023-01-15,9,127.94
2023-01-15,10,195.94
2023-01-15,11,195.94
2023-01-15,12,254.94
2023-01-15,13,256.94
2023-01-15,14,256.94
2023-01-15,15,256.94
2023-01-15,16,254.94
2023-01-15,17,254.94
2023-01-15,18,254.94
2023-01-15,19,275.94
2023-01-15,20,325.94
2023-01-15,21,275.94
2023-01-15,22,275.94
2023-01-15,23,256.94
2023-01-15,24,233.94
2023-01-16,1,122.75
2023-01-16,2,122.75
2023-01-16,3,122.75
2023-01-16,4,122.75
2023-01-16,5,122.75
2023-01-16,6,123.5
2023-01-16,7,123.75
2023-01-16,8,124.75
2023-01-16,9,232.75
2023-01-16,10,247.75
2023-01-16,11,253.75
2023-01-16,12,262.75
2023-01-16,13,262.75
2023-01-16,14,262.75
2023-01-16,15,262.75
2023-01-16,16,253.75
2023-01-16,17,253.75
2023-01-16,18,253.75
2023-01-16,19,262.75
2023-01-16,20,262.75
2023-01-16,21,253.75
2023-01-16,22,247.75
2023-01-16,23,232.75
2023-01-16,24,124.75
2023-01-17,1,121.89
2023-01-17,2,121.89
2023-01-17,3,121.89
2023-01-17,4,121.89
2023-01-17,5,121.89
2023-01-17,6,121.89
2023-01-17,7,122.67
2023-01-17,8,217.67
2023-01-17,9,252.78
2023-01-17,10,252.78
2023-01-17,11,252.78
2023-01-17,12,262.67
2023-01-17,13,262.67
2023-01-17,14,262.67
2023-01-17,15,262.67
2023-01-17,16,262.67
2023-01-17,17,262.67
2023-01-17,18,252.78
2023-01-17,19,262.67
2023-01-17,20,262.67
2023-01-17,21,262.67
2023-01-17,22,252.78
2023-01-17,23,252.78
2023-01-17,24,236.61
2023-01-18,1,247.37
2023-01-18,2,247.37
2023-01-18,3,247.37
2023-01-18,4,236.46
2023-01-18,5,236.46
2023-01-18,6,247.37
2023-01-18,7,247.37
2023-01-18,8,247.37
2023-01-18,9,254.46
2023-01-18,10,254.46
2023-01-18,11,254.46
2023-01-18,12,254.46
2023-01-18,13,254.46
2023-01-18,14,254.46
2023-01-18,15,254.46
2023-01-18,16,254.46
2023-01-18,17,254.46
2023-01-18,18,254.46
2023-01-18,19,254.46
2023-01-18,20,254.46
2023-01-18,21,254.46
2023-01-18,22,254.46
2023-01-18,23,247.37
2023-01-18,24,247.37
2023-01-19,1,130.66
2023-01-19,2,130.66
2023-01-19,3,130.66
2023-01-19,4,130.66
2023-01-19,5,130.66
2023-01-19,6,130.66
2023-01-19,7,240.43
2023-01-19,8,241.43
2023-01-19,9,241.43
2023-01-19,10,271.54
2023-01-19,11,271.54
2023-01-19,12,271.54
2023-01-19,13,271.54
2023-01-19,14,281.43
2023-01-19,15,290.43
2023-01-19,16,290.43
2023-01-19,17,281.43
2023-01-19,18,271.54
2023-01-19,19,281.43
2023-01-19,20,291.43
2023-01-19,21,281.43
2023-01-19,22,271.54
2023-01-19,23,271.54
2023-01-19,24,253.9
2023-01-20,1,225.12
2023-01-20,2,225.12
2023-01-20,3,222.12
2023-01-20,4,222.12
2023-01-20,5,222.12
2023-01-20,6,225.12
2023-01-20,7,225.12
2023-01-20,8,244.12
2023-01-20,9,244.12
2023-01-20,10,244.12
2023-01-20,11,244.12
2023-01-20,12,258.23
2023-01-20,13,258.23
2023-01-20,14,258.23
2023-01-20,15,258.23
2023-01-20,16,258.23
2023-01-20,17,258.23
2023-01-20,18,244.12
2023-01-20,19,258.23
2023-01-20,20,258.23
2023-01-20,21,258.23
2023-01-20,22,244.12
2023-01-20,23,244.12
2023-01-20,24,244.12
2023-01-21,1,182.68
2023-01-21,2,121.91
2023-01-21,3,121.91
2023-01-21,4,121.91
2023-01-21,5,121.91
2023-01-21,6,121.91
2023-01-21,7,182.68
2023-01-21,8,219.68
2023-01-21,9,227.79
2023-01-21,10,227.79
2023-01-21,11,227.79
2023-01-21,12,227.79
2023-01-21,13,227.79
2023-01-21,14,227.79
2023-01-21,15,227.79
2023-01-21,16,227.79
2023-01-21,17,227.79
2023-01-21,18,227.79
2023-01-21,19,242.68
2023-01-21,20,247.68
2023-01-21,21,242.68
2023-01-21,22,227.79
2023-01-21,23,219.68
2023-01-21,24,219.68
2023-01-22,1,192.23
2023-01-22,2,192.23
2023-01-22,3,192.23
2023-01-22,4,182.12
2023-01-22,5,121.34
2023-01-22,6,121.34
2023-01-22,7,121.34
2023-01-22,8,121.34
2023-01-22,9,192.23
2023-01-22,10,192.23
2023-01-22,11,192.23
2023-01-22,12,192.23
2023-01-22,13,192.23
2023-01-22,14,192.23
2023-01-22,15,192.23
2023-01-22,16,192.23
2023-01-22,17,192.23
2023-01-22,18,192.23
2023-01-22,19,252.12
2023-01-22,20,284.12
2023-01-22,21,284.12
2023-01-22,22,271.12
