hora,D_A1_kW,D_A2_kW,D_A3_kW,D_A4_kW,D_A5_kW,D_A6_kW,G_A1_kW,G_A2_kW,G_A3_kW,G_A4_kW,G_A5_kW,G_A6_kW,Gklim_A1_kW,Gklim_A2_kW,Gklim_A3_kW,Gklim_A4_kW,Gklim_A5_kW,Gklim_A6_kW
0,1.1999999619076325,0.4799999783967572,0.23999998427882918,0.0,0.10999998867701578,0.10999998868129043,2.0,0.0,0.0,1.2003075383393706,0.0,0.0,2.0,0.0,0.0,1.2003075383393706,0.0,0.0
1,1.0799999638385351,0.35999998150594475,0.23999998444502718,0.0,0.10999998884788893,0.10999998885636594,2.0,0.0,0.0,1.2746863843771175,0.0,0.0,2.0,0.0,0.0,1.2746863843771175,0.0,0.0
2,1.079999963858795,0.359999981505857,0.23999998444237733,0.0,0.10999998885164451,0.10999998885957833,2.0,0.0,0.0,1.1314655361594457,0.0,0.0,2.0,0.0,0.0,1.1314655361594457,0.0,0.0
3,1.0799999638563775,0.35999998151074747,0.2399999844485753,0.0,0.10999998885199018,0.10999998885771821,2.0,0.0,0.0,0.9773520403106815,0.0,0.0,2.0,0.0,0.0,0.9773520403106815,0.0,0.0
4,1.1999999607311427,0.4799999784024468,0.2399999842685084,0.0,0.1099999886722079,0.10999998868166198,2.0,0.0,0.0,1.0863323037070693,0.0,0.0,2.0,0.0,0.0,1.0863323037070693,0.0,0.0
5,1.4399999538483452,0.9599999656420954,0.4799999773875894,0.11999998618460873,0.2199999861815436,0.10999998766156463,2.0,0.0,0.0,0.9520883612508844,0.0,0.0,2.0,0.0,0.0,0.9520883612508844,0.0,0.0
6,1.4400000581516683,0.9600000405783857,0.6400000288501735,1.6000000640446543,0.3600000112356565,0.3000000053458767,3.0,0.9736734913281444,0.0,1.2150359006493596,0.0,0.0,2.8442297698811747,0.9736734913281444,0.0,1.2150359006493596,0.0,0.0
7,2.0000000833024747,0.7200000363991235,0.48000002758061655,2.800000112692491,0.2700000143761914,0.18000001292017753,3.0,1.3727327307205366,0.1403369070853343,1.5350538113886334,0.0,0.0,2.8442297698811747,1.3727327307205366,0.1403369070853343,1.5350538113886334,0.0,0.0
8,2.400000098993403,0.5600000314961644,0.4000000256398107,3.0400001224533737,0.2700000153521255,0.18000001390230722,3.0,1.9388930167751561,0.33833820809153176,1.0769483703621676,0.0,0.0,2.8442297698811747,1.9388930167751561,0.33833820809153176,1.0769483703621676,0.0,0.0
9,3.140000007479256,0.5999999840632697,0.4799999869898162,3.2000001161040057,0.21999999580203564,0.10999999727750207,3.0,2.622857308994217,0.6950932511329853,1.044881275045015,0.0,0.0,2.8442297698811747,2.622857308994217,0.6950932511329853,1.044881275045015,0.0,0.0
10,3.599999898219878,0.5999999715862497,0.4799999745413964,4.61977464249823,0.21999998332775075,0.10999998491172591,3.0,3.302580910208828,1.2168806398999292,1.3224605125462996,0.0,0.0,2.8442297698811747,3.302580910208828,1.2168806398999292,1.3224605125462996,0.0,0.0
11,3.3599999041955124,0.7199999688116234,0.5999999717622668,4.43646986121383,0.21999998350528677,0.2199999835121793,3.0,3.810858141173679,1.815372592684227,1.289221752040015,0.0,0.0,2.8442297698811747,3.810858141173679,1.815372592684227,1.289221752040015,0.0,0.0
12,2.999999913267578,0.8399999661382227,0.7199999690915697,4.199999899127611,0.3299999822994695,0.21999998366415924,4.0,4.0,2.3077908659665893,1.2263535622494746,0.0,0.0,2.8442297698811747,4.0,2.3077908659665893,1.2263535622494746,0.0,0.0
13,3.3599999043296256,0.7199999689482748,0.5999999719004497,4.178042443097341,0.3299999821535338,0.21999998363438833,4.0,3.810858141173679,2.5,0.9673829888229488,0.0,0.0,2.8442297698811747,3.810858141173679,2.5,0.9673829888229488,0.0,0.0
14,3.599999898408906,0.5999999718008527,0.47999997473473777,4.45766209055019,0.21999998353986314,0.10999998502377459,4.0,3.302580910208828,2.3077908659665893,1.1926870443841815,0.0,0.0,2.8442297698811747,3.302580910208828,2.3077908659665893,1.1926870443841815,0.0,0.0
15,3.839999892365874,0.5999999716605071,0.4799999745820578,4.568050416042355,0.21999998339633633,0.10999998486896542,4.0,2.622857308994217,1.815372592684227,1.3738257986145719,0.0,0.0,2.8442297698811747,2.622857308994217,1.815372592684227,1.3738257986145719,0.0,0.0
16,2.8000001086352975,0.5600000264374234,0.6200000029059051,2.8000001086073687,0.32999999999999996,0.22000000000000003,4.0,1.9388930167751561,1.2168806398999292,0.8639463631787294,0.0,0.0,2.8442297698811747,1.9388930167751561,1.2168806398999292,0.8639463631787294,0.0,0.0
