hora,D_Udenar_kW,D_Mariana_kW,D_UCC_kW,D_HUDN_kW,D_Cesmag_kW,G_Udenar_kW,G_Mariana_kW,G_UCC_kW,G_HUDN_kW,G_Cesmag_kW,D_comunidad_kW,G_comunidad_kW
0,4.45422864134339,7.229859321120694,8.563760264008618,8.841803093979694,3.003193071010423,0.0,0.0,0.0,0.0,0.0,32.09284439146282,0.0
1,4.438983323070606,7.289337416936064,8.599844664665435,8.239431333248397,2.988376155129571,0.0,0.0,0.0,0.0,0.0,31.555972893050075,0.0
2,4.4144314879669535,7.203625444504309,8.60686763948755,8.11246653366582,2.9832450353379065,0.0,0.0,0.0,0.0,0.0,31.320636140962538,0.0
3,4.393454324937141,7.272502018229167,8.600668577457927,7.9964276698709345,2.983583881422676,0.0,0.0,0.0,0.0,0.0,31.246636471917846,0.0
4,4.384378159583069,7.2014904947916705,9.452589778132696,7.8374182885101815,2.9904309532712094,0.0,0.0,0.0,0.0,0.0,31.866307674288826,0.0
5,4.519344718164469,7.2311897687109425,11.74484019984501,8.130634020240354,2.9889193197626063,0.0003398437499999999,0.000762101685079626,0.000932531522042092,0.00034398227640415136,0.0008959514877483628,34.61492802672338,0.0032744107212742323
6,5.613685426544539,7.1942283082712875,15.417958795942274,8.576217249226262,3.372043589583783,0.3162318229166666,0.33031135728047084,0.38845420819708554,0.29035673427237274,0.2385296942349137,40.174133369568146,1.5638838169015097
7,7.429841188710273,10.422627448223409,28.839415011478483,9.455909275531539,5.063620234779752,1.7441516079920427,1.686506835189176,2.1518941537711833,1.505558171695403,0.9900677167095285,61.21141315872346,8.078178485357334
8,11.25635188806267,13.657042194176611,35.29776357609917,10.043980017050453,7.2595208476853745,3.7520535744340213,3.7121076990269057,4.573588829226958,3.5808541010020654,2.1736923537088604,77.51465852307429,17.792296557398814
9,12.336815295032535,14.519073446515524,36.73182526033032,9.68656644270937,7.629032451507764,5.405001256063345,5.484914638246042,6.476118785334314,5.73644933997845,2.8739792106039603,80.90331289609551,25.97646323022611
10,11.913974842676575,14.0999719131645,36.65512544661397,9.166315099967107,6.713022218505414,6.625002605411133,6.60748116469109,7.819736176182385,6.85803866555512,3.119160993540055,78.54840952092758,31.029419605379786
11,11.231535647739971,14.061057117699217,35.00257089123805,9.003377998609869,6.636747079091961,6.983308108883301,6.710856380707219,7.96262350254455,6.977010759826561,3.3288215659155638,75.93528873437907,31.962620317877192
12,7.410172014608708,12.378429475838791,29.333266126669614,8.742127604169122,6.740990646375341,7.014683371918333,6.579060680155401,8.000692793766333,6.998798818881966,3.3029715216486477,64.60498586766157,31.89620718637068
13,6.333895477897991,11.457397795062679,26.274343044013264,8.727987317079041,5.971929798818606,6.674206773709505,6.008576991306441,7.588184726162845,6.429912483076369,3.1611025106676984,58.765553432871585,29.86198348492286
14,8.945001195381167,12.263984403933637,31.026439569450275,9.024895651348093,6.182509246619528,5.7694100337009795,5.274504955195394,6.619166821958236,5.411673391531542,2.9602032232693736,67.4428300667327,26.034958425655525
15,10.230818099856325,11.651518800992918,32.29028796753147,9.31610388345178,5.837272250116511,4.279309666165371,4.001072063256878,4.975328377888886,4.0012892122716535,2.223043934605713,69.326001001949,19.4800432541885
16,10.722130867618898,9.20030920117508,31.773544864353497,9.147606232383788,5.100071113723223,2.4271658897133594,2.104193151554802,2.783383049996374,2.154679378656098,1.627893844288794,65.94366227925448,11.097315314209427
17,10.94652333091732,8.331341808901636,29.733314570081255,9.3366106609467,4.523752243844431,0.6393581561231412,0.5133761475812036,0.7203661734101483,0.5567276160329434,0.48861329779487206,62.871542614691336,2.9184413909423084
18,7.928152230629434,8.161829532651014,25.421543533466036,9.876782306272503,3.3131746862581264,0.007387101287525878,0.006116212943681436,0.009951379431432669,0.006993742123741499,0.008918730079518803,54.701482289277116,0.039367165865900285
19,5.710567532880194,8.047254521372128,19.851998368176112,9.949658694213793,3.032433540090831,0.0,0.0,0.0,0.0,0.0,46.59191265673306,0.0
20,4.91821441244689,8.079069634518678,15.663618799015216,9.916192289928128,3.0038861365657987,0.0,0.0,0.0,0.0,0.0,41.58098127247471,0.0
21,4.5994616013059355,7.916266266741071,11.608854210893025,9.992252724634751,2.9933523742558736,0.0,0.0,0.0,0.0,0.0,37.11018717783065,0.0
22,4.488543854487379,7.560944596033453,9.053265720709787,9.548752598131905,2.991332780474846,0.0,0.0,0.0,0.0,0.0,33.64283954983737,0.0
23,4.468143145782021,7.256615728268677,8.598769864147165,9.461073986253195,3.016094841002453,0.0,0.0,0.0,0.0,0.0,32.80069756545352,0.0
