hora,rol_A1,rol_A2,rol_A3,rol_A4,rol_A5,rol_A6,mercado_activo
0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
2,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
3,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
4,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
5,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
6,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1
7,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1
8,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1
9,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1
10,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1
11,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1
12,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1
13,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1
14,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1
15,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1
16,1.0,1.0,1.0,-1.0,-1.0,-1.0,1
17,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1
18,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
19,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
20,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
21,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
22,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
23,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1
