hora,SC,SS,IE,Wj,Wi
0,1.0000000000000022,0.6686857048282207,-0.9999998871340748,-372.2898112156958,-352.36815353344656
1,0.9999999999999934,0.5802082045347224,-0.999999966848474,-280.1173348929681,-307.3849946240201
2,0.9999999999999983,0.606744633009273,-0.9999999668470297,-294.27271435723344,-307.38499462540767
3,0.9999999999999968,0.638150907854061,-0.9999999668445076,-309.5313015604362,-307.38499462864297
4,1.0000000000000007,0.6933796137848031,-0.9999998871456778,-383.5647416122155,-352.36815353190497
5,0.8865130594912353,1.0000000000000016,-0.5225055278257096,-745.9715229055902,-408.54716356182246
6,0.9496111253101039,0.9999999999999998,-1.0,-1612.7672977788188,-410.7494349483035
7,0.9135430940528967,1.0000000000000018,-0.7622867063414915,-1030.5300673265056,-334.15093642538545
8,0.9048772389131633,1.0,-0.44706899668358613,-640.9005129571877,-370.7146954937103
9,0.9299434223848769,1.0000000000000298,0.44890231783423507,-235.93987172533957,98.05131368575188
10,0.9020098936947907,1.000000000000001,0.37008332946916217,-400.86166648254516,-74.41561100540045
11,0.9999999999999976,0.979178360785456,0.5335703180109893,-489.51358970906426,-57.16303292230545
12,1.0000000000000029,0.8970576253933418,0.6161853835887862,-395.4822524395608,36.50990228449109
13,0.999999999999997,0.9294215164577215,0.5016612091990512,-517.0999049878308,-131.92051358028365
14,0.9999999999999957,0.9813806040216856,0.5009141515721396,-569.8999738767861,-119.025291505452
15,0.8816705225208316,1.0000000000000013,0.8050010817524458,-445.5088449616687,191.06358315683565
16,0.9364187665521441,0.999999999999997,-0.4545283508957207,-294.4701903468201,-293.48661243163855
17,0.8137926067306601,0.999999999999999,0.67356584299461,-54.6900040802877,389.1339414815175
18,0.6971857962676264,1.0000000000000009,0.5555998835488947,-81.04701299966096,234.30170207231964
19,0.5419237956168401,0.9999999999999933,0.4581106053279195,-110.42869088274406,50.09677613281175
20,0.6212167895639388,0.9999999999969195,0.7624415891560143,-93.01355269502795,124.50498083410338
21,0.8201637570307484,1.0000000000000018,-0.9999999717507998,-601.1564388786503,-577.7440656052274
22,0.898173986087028,1.0000000000000007,-0.7996195310123375,-339.574271927095,-369.03380236649855
23,0.9999999999999986,0.7650368998564686,-0.9999998639554505,-462.26534062311896,-397.35131923900724
