hora,vendedor,comprador,kWh_transados,precio_COP_kWh,valor_COP,prima_vendedor_COP,ahorro_comprador_COP
0,A1,A2,0.1500,1250.0000,187.5500,170.4400,0.0000
0,A1,A3,0.0751,1250.0000,93.8300,85.2700,0.0000
0,A1,A5,0.0375,114.0000,4.2800,0.0000,42.6200
0,A1,A6,0.0375,114.0000,4.2800,0.0000,42.6200
0,A4,A2,0.2499,1250.0000,312.3500,283.8600,0.0000
0,A4,A3,0.1250,1250.0000,156.2700,142.0200,0.0000
0,A4,A5,0.0625,114.0000,7.1200,0.0000,70.9800
0,A4,A6,0.0625,114.0000,7.1200,0.0000,70.9800
1,A1,A2,0.1126,1250.0000,140.7600,127.9300,0.0000
1,A1,A3,0.0751,1250.0000,93.8400,85.2800,0.0000
1,A1,A5,0.0375,114.0000,4.2700,0.0000,42.5700
1,A1,A6,0.0375,114.0000,4.2700,0.0000,42.5700
1,A4,A2,0.1875,1250.0000,234.4100,213.0300,0.0000
1,A4,A3,0.1250,1250.0000,156.2700,142.0200,0.0000
1,A4,A5,0.0624,114.0000,7.1100,0.0000,70.9000
1,A4,A6,0.0624,114.0000,7.1100,0.0000,70.9000
2,A1,A2,0.1126,1250.0000,140.7700,127.9300,0.0000
2,A1,A3,0.0751,1250.0000,93.8400,85.2800,0.0000
2,A1,A5,0.0375,114.0000,4.2700,0.0000,42.5700
2,A1,A6,0.0375,114.0000,4.2700,0.0000,42.5700
2,A4,A2,0.1875,1250.0000,234.4100,213.0300,0.0000
2,A4,A3,0.1250,1250.0000,156.2700,142.0200,0.0000
2,A4,A5,0.0624,114.0000,7.1100,0.0000,70.9000
2,A4,A6,0.0624,114.0000,7.1100,0.0000,70.9000
3,A1,A2,0.1126,1250.0000,140.7700,127.9300,0.0000
3,A1,A3,0.0751,1250.0000,93.8400,85.2900,0.0000
3,A1,A5,0.0375,114.0000,4.2700,0.0000,42.5800
3,A1,A6,0.0375,114.0000,4.2700,0.0000,42.5800
3,A4,A2,0.1875,1250.0000,234.4000,213.0300,0.0000
3,A4,A3,0.1250,1250.0000,156.2700,142.0100,0.0000
3,A4,A5,0.0624,114.0000,7.1100,0.0000,70.9000
3,A4,A6,0.0624,114.0000,7.1100,0.0000,70.9000
4,A1,A2,0.1500,1250.0000,187.5500,170.4400,0.0000
4,A1,A3,0.0751,1250.0000,93.8300,85.2800,0.0000
4,A1,A5,0.0375,114.0000,4.2800,0.0000,42.6200
4,A1,A6,0.0375,114.0000,4.2800,0.0000,42.6200
4,A4,A2,0.2499,1250.0000,312.3400,283.8600,0.0000
4,A4,A3,0.1250,1250.0000,156.2700,142.0200,0.0000
4,A4,A5,0.0625,114.0000,7.1200,0.0000,70.9800
4,A4,A6,0.0625,114.0000,7.1200,0.0000,70.9800
5,A1,A2,0.3446,1250.0000,430.8000,391.5100,0.0000
5,A1,A3,0.1723,1250.0000,215.4100,195.7700,0.0000
5,A1,A5,0.0862,1249.9600,107.7200,97.9000,0.0000
5,A1,A6,0.0431,114.0000,4.9200,0.0000,48.9800
5,A4,A2,0.4553,1250.0000,569.0900,517.1900,0.0000
5,A4,A3,0.2277,1250.0000,284.5600,258.6100,0.0000
5,A4,A5,0.1138,1249.9600,142.3000,129.3300,0.0000
5,A4,A6,0.0570,114.0000,6.4900,0.0000,64.7000
6,A1,A2,0.2080,1250.0000,260.0300,236.3100,0.0000
6,A1,A3,0.2091,1250.0000,261.4000,237.5600,0.0000
6,A1,A4,0.2091,1250.0000,261.4000,237.5600,0.0000
6,A1,A5,0.2090,1250.0000,261.3100,237.4800,0.0000
6,A1,A6,0.2089,1250.0000,261.1600,237.3400,0.0000
7,A1,A3,0.0869,1250.0000,108.5800,98.6800,0.0000
7,A1,A4,0.0869,1250.0000,108.6200,98.7100,0.0000
7,A1,A5,0.0868,1250.0000,108.5100,98.6100,0.0000
7,A1,A6,0.0832,1250.0000,103.9900,94.5000,0.0000
7,A2,A3,0.1196,1250.0000,149.4700,135.8400,0.0000
7,A2,A4,0.1196,1250.0000,149.5200,135.8900,0.0000
7,A2,A5,0.1195,1250.0000,149.3700,135.7500,0.0000
7,A2,A6,0.1145,1250.0000,143.1500,130.1000,0.0000
8,A2,A1,0.1555,1250.0000,194.4000,176.6700,0.0000
8,A2,A3,0.1612,1250.0000,201.5000,183.1300,0.0000
8,A2,A4,0.4214,114.0000,48.0400,0.0000,478.7200
8,A2,A5,0.2977,114.0000,33.9400,0.0000,338.1700
8,A2,A6,0.2031,1250.0000,253.8500,230.7000,0.0000
9,A2,A1,0.3131,1250.0000,391.4100,355.7100,0.0000
9,A2,A4,1.5398,114.0000,175.5400,0.0000,1749.2000
9,A2,A5,0.1788,1250.0000,223.4500,203.0800,0.0000
9,A2,A6,0.0912,1250.0000,113.9400,103.5500,0.0000
9,A3,A1,0.0435,1250.0000,54.4100,49.4500,0.0000
9,A3,A4,0.2141,114.0000,24.4000,0.0000,243.1700
9,A3,A5,0.0249,1250.0000,31.0600,28.2300,0.0000
9,A3,A6,0.0127,1250.0000,15.8400,14.4000,0.0000
10,A2,A1,0.1150,1250.0000,143.7200,130.6200,0.0000
10,A2,A4,1.9800,114.0000,225.7200,0.0000,2249.2900
10,A2,A5,0.1476,1250.0000,184.5500,167.7200,0.0000
10,A2,A6,0.0741,1250.0000,92.6000,84.1600,0.0000
10,A3,A1,0.0405,1250.0000,50.6600,46.0400,0.0000
10,A3,A4,0.6979,114.0000,79.5600,0.0000,792.8400
10,A3,A5,0.0520,1250.0000,65.0500,59.1200,0.0000
10,A3,A6,0.0261,1250.0000,32.6400,29.6600,0.0000
11,A1,A4,0.0342,1250.0000,42.7500,38.8500,0.0000
11,A1,A5,0.0027,114.0000,0.3100,0.0000,3.0900
11,A1,A6,0.0027,114.0000,0.3100,0.0000,3.0900
11,A2,A4,1.3384,1250.0000,1672.9400,1520.3700,0.0000
11,A2,A5,0.1066,114.0000,12.1500,0.0000,121.0900
11,A2,A6,0.1066,114.0000,12.1500,0.0000,121.0900
11,A3,A4,1.1383,1250.0000,1422.8600,1293.1000,0.0000
11,A3,A5,0.0907,114.0000,10.3300,0.0000,102.9900
11,A3,A6,0.0907,114.0000,10.3300,0.0000,102.9900
12,A1,A4,0.2802,1250.0000,350.2400,318.3000,0.0000
12,A1,A5,0.0369,114.0000,4.2100,0.0000,41.9300
12,A1,A6,0.0246,114.0000,2.8100,0.0000,27.9600
12,A2,A4,1.0196,1250.0000,1274.5300,1158.2900,0.0000
12,A2,A5,0.1343,114.0000,15.3100,0.0000,152.5800
12,A2,A6,0.0895,114.0000,10.2100,0.0000,101.7300
12,A3,A4,0.9745,1250.0000,1218.1200,1107.0200,0.0000
12,A3,A5,0.1284,114.0000,14.6300,0.0000,145.8300
12,A3,A6,0.0856,114.0000,9.7600,0.0000,97.2300
13,A1,A4,0.0307,1250.0000,38.3700,34.8700,0.0000
13,A1,A5,0.0036,1250.0000,4.5500,4.1300,0.0000
13,A1,A6,0.0024,1249.7600,3.0300,2.7500,0.0000
13,A2,A4,1.2792,1250.0000,1598.9900,1453.1600,0.0000
13,A2,A5,0.1515,1250.0000,189.4100,172.1300,0.0000
13,A2,A6,0.1010,1249.7600,126.2500,114.7300,0.0200
13,A3,A4,1.2227,1250.0000,1528.4100,1389.0200,0.0000
13,A3,A5,0.1448,1250.0000,181.0500,164.5400,0.0000
13,A3,A6,0.0966,1249.7600,120.6800,109.6700,0.0200
14,A2,A1,0.0798,1250.0000,99.7100,90.6200,0.0000
14,A2,A4,1.3332,114.0000,151.9900,0.0000,1514.5200
14,A2,A5,0.1021,1250.0000,127.6500,116.0100,0.0000
14,A2,A6,0.0510,1250.0000,63.7800,57.9700,0.0000
14,A3,A1,0.0762,1250.0000,95.3100,86.6200,0.0000
14,A3,A4,1.2743,114.0000,145.2700,0.0000,1447.6400
14,A3,A5,0.0976,1250.0000,122.0100,110.8900,0.0000
14,A3,A6,0.0488,1250.0000,60.9700,55.4100,0.0000
15,A2,A1,0.2024,1250.0000,253.0200,229.9500,0.0000
15,A2,A4,1.4928,114.0000,170.1800,0.0000,1695.8600
15,A2,A5,0.1141,1250.0000,142.5700,129.5700,0.0000
15,A2,A6,0.0568,1250.0000,70.9500,64.4800,0.0000
15,A3,A1,0.1536,1250.0000,191.9800,174.4700,0.0000
15,A3,A4,1.1327,114.0000,129.1300,0.0000,1286.7200
15,A3,A5,0.0865,1250.0000,108.1800,98.3100,0.0000
15,A3,A6,0.0431,1250.0000,53.8300,48.9200,0.0000
16,A2,A1,0.4371,114.0000,49.8300,0.0000,496.5900
16,A2,A4,0.4688,114.0000,53.4500,0.0000,532.5900
16,A2,A5,0.2019,1250.0000,252.3900,229.3700,0.0000
16,A2,A6,0.1310,1250.0000,163.8000,148.8700,0.0000
16,A3,A1,0.2177,114.0000,24.8100,0.0000,247.2500
16,A3,A4,0.2334,114.0000,26.6100,0.0000,265.1700
16,A3,A5,0.1005,1250.0000,125.6600,114.2000,0.0000
16,A3,A6,0.0652,1250.0000,81.5600,74.1200,0.0000
17,A2,A1,0.0653,1250.0000,81.6200,74.1700,0.0000
17,A2,A3,0.1010,114.0000,11.5200,0.0000,114.7600
17,A2,A4,0.0645,1250.0000,80.5700,73.2200,0.0000
17,A2,A5,0.0692,208.6000,14.4400,6.5500,72.1000
17,A2,A6,0.0727,114.0000,8.2900,0.0000,82.6200
18,A4,A1,0.1034,1250.0000,129.2900,117.5000,0.0000
18,A4,A2,0.1753,114.0000,19.9800,0.0000,199.1100
18,A4,A3,0.1074,1250.0000,134.2000,121.9600,0.0000
18,A4,A5,0.1135,1250.0000,141.8900,128.9500,0.0000
18,A4,A6,0.1251,254.3200,31.8200,17.5600,124.5800
19,A4,A1,0.1459,1250.0000,182.3200,165.6900,0.0000
19,A4,A2,0.1435,1250.0000,179.4200,163.0600,0.0000
19,A4,A3,0.1459,1250.0000,182.3200,165.6900,0.0000
19,A4,A5,0.2000,114.0000,22.8000,0.0000,227.2400
19,A4,A6,0.2423,114.0000,27.6300,0.0000,275.3000
20,A4,A1,0.1483,460.7000,68.3100,51.4100,117.0400
20,A4,A2,0.1216,1250.0000,152.0200,138.1600,0.0000
20,A4,A3,0.1231,1250.0000,153.8700,139.8400,0.0000
20,A4,A5,0.1483,460.7000,68.3100,51.4100,117.0400
20,A4,A6,0.1983,114.0000,22.6100,0.0000,225.2600
21,A4,A2,0.3207,114.0000,36.5600,0.0000,364.3500
21,A4,A3,0.3206,114.0000,36.5500,0.0000,364.2100
21,A4,A5,0.2980,114.0000,33.9700,0.0000,338.4800
21,A4,A6,0.2019,1250.0000,252.4100,229.3900,0.0000
22,A1,A2,0.2235,1250.0000,279.3300,253.8600,0.0000
22,A1,A3,0.1117,1250.0000,139.6700,126.9300,0.0000
22,A1,A5,0.0745,114.0000,8.4900,0.0000,84.5900
22,A1,A6,0.0372,114.0000,4.2400,0.0000,42.2900
22,A4,A2,0.3766,1250.0000,470.7400,427.8100,0.0000
22,A4,A3,0.1883,1250.0000,235.3700,213.9100,0.0000
22,A4,A5,0.1255,114.0000,14.3100,0.0000,142.5500
22,A4,A6,0.0627,114.0000,7.1500,0.0000,71.2700
