hora,mercado_activo,kWh_total_p2p,precio_prom_pond,n_vendedores,n_compradores,vendedores,compradores,SC,SS,IE,G_total_kW,D_total_kW
0,True,0.9400,1250.0000,2,4,A1;A4,A2;A3;A5;A6,1.0000,0.6687,-1.0000,3.2000,2.1400
1,True,0.8200,1250.0000,2,4,A1;A4,A2;A3;A5;A6,1.0000,0.5802,-1.0000,3.2750,1.9000
2,True,0.8200,1250.0000,2,4,A1;A4,A2;A3;A5;A6,1.0000,0.6067,-1.0000,3.1310,1.9000
3,True,0.8200,1250.0000,2,4,A1;A4,A2;A3;A5;A6,1.0000,0.6382,-1.0000,2.9770,1.9000
4,True,0.9400,1250.0000,2,4,A1;A4,A2;A3;A5;A6,1.0000,0.6934,-1.0000,3.0860,2.1400
5,True,1.3921,978.7800,2,4,A1;A4,A2;A3;A5;A6,0.8865,1.0000,-0.5225,2.9520,3.3300
6,True,1.4179,1250.0000,2,4,A1;A2,A3;A4;A5;A6,0.9496,1.0000,-1.0000,5.0330,5.3000
7,True,1.4970,1114.9800,2,4,A1;A2,A3;A4;A5;A6,0.9135,1.0000,-0.7623,5.8920,6.4500
8,True,1.8231,935.9400,2,4,A1;A2,A3;A4;A5;A6,0.9049,1.0000,-0.4471,6.1980,6.8500
9,True,2.2380,427.0200,2,4,A2;A3,A1;A4;A5;A6,0.9299,1.0000,0.4489,7.2070,7.7500
10,True,3.4395,471.7900,2,4,A2;A3,A1;A4;A5;A6,0.9020,1.0000,0.3701,8.6860,9.6300
11,True,4.1030,378.9300,2,4,A2;A3,A1;A4;A5;A6,1.0000,0.9792,0.5336,9.7600,9.5560
12,True,3.6794,332.0100,2,4,A2;A3,A1;A4;A5;A6,1.0000,0.8971,0.6162,10.3780,9.3100
13,True,4.2764,397.0600,2,4,A2;A3,A1;A4;A5;A6,1.0000,0.9294,0.5017,10.1220,9.4080
14,True,4.3507,397.4800,2,4,A2;A3,A1;A4;A5;A6,1.0000,0.9814,0.5009,9.6470,9.4680
15,True,3.3582,224.7600,2,4,A2;A3,A1;A4;A5;A6,0.8817,1.0000,0.8050,8.6560,9.8180
16,True,2.0200,940.1700,3,3,A1;A2;A3,A4;A5;A6,0.9364,1.0000,-0.4545,6.8640,7.3300
17,True,0.5727,299.4100,1,5,A2,A1;A3;A4;A5;A6,0.8138,1.0000,0.6736,5.9980,7.3700
18,True,0.6447,366.4200,1,5,A4,A1;A2;A3;A5;A6,0.6972,1.0000,0.5556,4.0370,5.7900
19,True,0.8776,421.7900,1,5,A4,A1;A2;A3;A5;A6,0.5419,1.0000,0.4581,2.8780,5.3100
20,True,0.7396,248.9300,1,5,A4,A1;A2;A3;A5;A6,0.6212,1.0000,0.7624,2.7400,4.4100
21,True,1.5412,1250.0000,2,4,A1;A4,A2;A3;A5;A6,0.8202,1.0000,-1.0000,3.1410,3.8300
22,True,1.0831,1136.1800,2,4,A1;A4,A2;A3;A5;A6,0.8982,1.0000,-0.7996,2.8830,3.2100
23,True,1.0600,1250.0000,2,4,A1;A4,A2;A3;A5;A6,1.0000,0.7650,-1.0000,3.2680,2.5000
