frontera,muestras,horas,muestras_en_horas,horas_mayoria,horas_quedan_lt23,horas_quedan_0,horas_incompletas,horas_completas,horas_adyacentes_vacia,energia_kWh,delta_kWh_quitar_muestras,inst,medidor,med,bandera
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,V_ntc_-10+5
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,V_pm10
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,V_pm8
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,V_pm15
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,V_pm20
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,V_pm50
M1,4,2,60,0,0,0,0,2,0,10.028500000000001,0.048360791826309146,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,f_59.8-60.2
M1,43,36,1080,0,0,0,0,36,0,36.42269999999999,-0.6753988669950722,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,f_59.9-60.1
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,f_59.7-60.3
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,f_59.5-60.5
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,f_59-61
M1,1,1,30,0,0,0,0,1,0,3.1136666666666666,0.014781609195402279,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,S_1.5q
M1,1,1,30,0,0,0,0,1,0,3.1136666666666666,0.014781609195402279,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,S_2q
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,S_3q
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,S_4q
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,S_5q
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,S_8q
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,S_10q
M1,1,1,30,0,0,0,0,1,0,3.1136666666666666,0.014781609195402279,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,S_2q_o_2pct
M1,1,1,30,0,0,0,0,1,0,3.1136666666666666,0.014781609195402279,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,S_2q_o_5pct
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,S_3q_o_2pct
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,S_3q_o_5pct
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,S_3q_o_10pct
M1,4,2,60,0,0,0,0,2,0,10.028500000000001,0.048360791826309146,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,G_final_V10_f0.2_S3q
M1,4,2,60,0,0,0,0,2,0,10.028500000000001,0.048360791826309146,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,G_final_V10_f0.2_S5q
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Udenar,Bloque Sur - Medidor 1 - electricMeter,Udenar 1,G_solo_S3q_V10
M1,415,47,1356,14,17,5,4,43,2,269.93382745098046,-4.680999638830852,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,V_ntc_-10+5
M1,99,6,126,5,5,4,4,2,2,6.342460784313727,3.3475392156862736,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,V_pm10
M1,99,6,126,5,5,4,4,2,2,6.342460784313727,3.3475392156862736,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,V_pm8
M1,99,6,126,5,5,4,4,2,2,6.342460784313727,3.3475392156862736,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,V_pm15
M1,99,6,126,5,5,4,4,2,2,6.342460784313727,3.3475392156862736,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,V_pm20
M1,99,6,126,5,5,4,4,2,2,6.342460784313727,3.3475392156862736,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,V_pm50
M1,4,3,90,0,0,0,0,3,0,23.05313333333333,-0.08680574712643452,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,f_59.8-60.2
M1,43,36,1080,0,0,0,0,36,0,263.6820666666666,0.9530322003284064,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,f_59.9-60.1
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,f_59.7-60.3
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,f_59.5-60.5
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,f_59-61
M1,172,167,5008,0,0,0,2,165,0,1287.680140229885,0.48413686371101305,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,S_1.5q
M1,31,31,930,0,0,0,0,31,0,244.48283333333336,0.07933908045977023,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,S_2q
M1,10,10,300,0,0,0,0,10,0,68.9754,0.035082758620691434,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,S_3q
M1,6,6,180,0,0,0,0,6,0,40.58873333333334,-0.17649195402298923,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,S_4q
M1,5,5,150,0,0,0,0,5,0,34.14993333333334,-0.22382988505747226,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,S_5q
M1,2,2,60,0,0,0,0,2,0,9.5393,-0.11657586206896675,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,S_8q
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,S_10q
M1,31,31,930,0,0,0,0,31,0,244.48283333333336,0.07933908045977023,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,S_2q_o_2pct
M1,21,21,630,0,0,0,0,21,0,137.21429999999998,-0.089472413793102,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,S_2q_o_5pct
M1,10,10,300,0,0,0,0,10,0,68.9754,0.035082758620691434,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,S_3q_o_2pct
M1,10,10,300,0,0,0,0,10,0,68.9754,0.035082758620691434,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,S_3q_o_5pct
M1,8,8,240,0,0,0,0,8,0,51.930366666666664,0.050254022988506675,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,S_3q_o_10pct
M1,113,19,516,5,5,4,4,15,2,98.37099411764706,3.2958162271805307,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,G_final_V10_f0.2_S3q
M1,108,14,366,5,5,4,4,10,2,63.54552745098039,3.0369035835023674,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,G_final_V10_f0.2_S5q
M1,109,16,426,5,5,4,4,12,2,75.31786078431372,3.3826219743069657,Mariana,Medidor 1 - Alvernia - electricMeter,Marian 1,G_solo_S3q_V10
M1,93,22,659,0,5,0,1,21,0,396.4953896551724,-0.38511001211713225,UCC,Medidor 1 - UCC - electricMeter,UCC 1,V_ntc_-10+5
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,UCC,Medidor 1 - UCC - electricMeter,UCC 1,V_pm10
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,UCC,Medidor 1 - UCC - electricMeter,UCC 1,V_pm8
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,UCC,Medidor 1 - UCC - electricMeter,UCC 1,V_pm15
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,UCC,Medidor 1 - UCC - electricMeter,UCC 1,V_pm20
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,UCC,Medidor 1 - UCC - electricMeter,UCC 1,V_pm50
M1,5,3,90,0,0,0,0,3,0,25.498800000000003,-0.027140996168581566,UCC,Medidor 1 - UCC - electricMeter,UCC 1,f_59.8-60.2
M1,46,39,1166,0,0,0,1,38,0,792.7847282051284,-0.6434037223695863,UCC,Medidor 1 - UCC - electricMeter,UCC 1,f_59.9-60.1
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,UCC,Medidor 1 - UCC - electricMeter,UCC 1,f_59.7-60.3
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,UCC,Medidor 1 - UCC - electricMeter,UCC 1,f_59.5-60.5
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,UCC,Medidor 1 - UCC - electricMeter,UCC 1,f_59-61
M1,3,3,90,0,0,0,0,3,0,91.26086666666666,-0.2693839080459792,UCC,Medidor 1 - UCC - electricMeter,UCC 1,S_1.5q
M1,2,2,60,0,0,0,0,2,0,58.8334,-0.10253793103448139,UCC,Medidor 1 - UCC - electricMeter,UCC 1,S_2q
M1,2,2,60,0,0,0,0,2,0,58.8334,-0.10253793103448139,UCC,Medidor 1 - UCC - electricMeter,UCC 1,S_3q
M1,1,1,30,0,0,0,0,1,0,52.3017,-0.20780344827586106,UCC,Medidor 1 - UCC - electricMeter,UCC 1,S_4q
M1,1,1,30,0,0,0,0,1,0,52.3017,-0.20780344827586106,UCC,Medidor 1 - UCC - electricMeter,UCC 1,S_5q
M1,1,1,30,0,0,0,0,1,0,52.3017,-0.20780344827586106,UCC,Medidor 1 - UCC - electricMeter,UCC 1,S_8q
M1,0,0,0,0,0,0,0,0,0,0.0,0.0,UCC,Medidor 1 - UCC - electricMeter,UCC 1,S_10q
M1,2,2,60,0,0,0,0,2,0,58.8334,-0.10253793103448139,UCC,Medidor 1 - UCC - electricMeter,UCC 1,S_2q_o_2pct
M1,1,1,30,0,0,0,0,1,0,6.5317,0.10526551724137967,UCC,Medidor 1 - UCC - electricMeter,UCC 1,S_2q_o_5pct
M1,2,2,60,0,0,0,0,2,0,58.8334,-0.10253793103448139,UCC,Medidor 1 - UCC - electricMeter,UCC 1,S_3q_o_2pct
M1,1,1,30,0,0,0,0,1,0,6.5317,0.10526551724137967,UCC,Medidor 1 - UCC - electricMeter,UCC 1,S_3q_o_5pct
M1,1,1,30,0,0,0,0,1,0,6.5317,0.10526551724137967,UCC,Medidor 1 - UCC - electricMeter,UCC 1,S_3q_o_10pct
