muestras,horas,muestras_en_horas,horas_mayoria,horas_quedan_lt23,horas_quedan_0,horas_incompletas,horas_completas,horas_adyacentes_vacia,energia_kWh,delta_kWh_quitar_muestras,inst,medidor,med,bandera
358,42,1244,9,14,6,2,40,0,146.45989425287357,-15.115011300726561,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,V_ntc_-10+5
15,1,15,1,1,1,1,0,0,0.195,-0.195,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,V_pm10
15,1,15,1,1,1,1,0,0,0.195,-0.195,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,V_pm8
15,1,15,1,1,1,1,0,0,0.195,-0.195,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,V_pm15
15,1,15,1,1,1,1,0,0,0.195,-0.195,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,V_pm20
14,1,15,1,1,0,1,0,0,0.195,0.0,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,V_pm50
103,7,195,4,5,0,4,3,0,44.2762348003848,3.198703796106428,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,f_59.8-60.2
226,53,1525,6,10,4,10,43,1,260.4092555940356,-29.02844129459403,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,f_59.9-60.1
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,f_59.7-60.3
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,f_59.5-60.5
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,f_59-61
38,35,1042,0,1,0,1,34,0,331.8723969696969,-0.3218727496641218,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,S_1.5q
8,8,240,0,0,0,0,8,0,93.16763333333333,-0.200840229885058,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,S_2q
1,1,30,0,0,0,0,1,0,10.571666666666665,-0.026080459770113862,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,S_3q
1,1,30,0,0,0,0,1,0,10.571666666666665,-0.026080459770113862,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,S_4q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,S_5q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,S_8q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,S_10q
8,8,240,0,0,0,0,8,0,93.16763333333333,-0.200840229885058,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,S_2q_o_2pct
8,8,240,0,0,0,0,8,0,93.16763333333333,-0.200840229885058,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,S_2q_o_5pct
1,1,30,0,0,0,0,1,0,10.571666666666665,-0.026080459770113862,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,S_3q_o_2pct
1,1,30,0,0,0,0,1,0,10.571666666666665,-0.026080459770113862,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,S_3q_o_5pct
1,1,30,0,0,0,0,1,0,10.571666666666665,-0.026080459770113862,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,S_3q_o_10pct
119,9,240,5,6,1,5,4,0,55.04290146705146,2.9776233363363143,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,G_final_V10_f0.2_S3q
118,8,210,5,6,1,5,3,0,44.47123480038479,3.003703796106428,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,G_final_V10_f0.2_S5q
16,2,45,1,1,1,1,1,0,10.766666666666666,-0.22108045977011387,Cesmag,Medidor 1 - Cesmag - electricMeter,Cesmag 1,G_solo_S3q_V10
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,V_ntc_-10+5
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,V_pm10
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,V_pm8
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,V_pm15
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,V_pm20
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,V_pm50
5,4,120,0,0,0,0,4,0,-0.3658666666666667,-0.005857471264367808,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,f_59.8-60.2
56,39,1167,0,0,0,2,37,0,-55.411193513957315,-0.23611683087027724,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,f_59.9-60.1
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,f_59.7-60.3
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,f_59.5-60.5
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,f_59-61
2623,1711,51157,0,9,0,72,1639,6,-3355.040544180103,-81.5256759717787,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,S_1.5q
250,236,7055,0,1,0,12,224,0,-638.8600115763547,6.649991573481735,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,S_2q
2,2,60,0,0,0,0,2,0,-6.935566666666666,0.007704597701149174,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,S_3q
1,1,30,0,0,0,0,1,0,-5.909133333333333,0.012167816091953831,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,S_4q
1,1,30,0,0,0,0,1,0,-5.909133333333333,0.012167816091953831,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,S_5q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,S_8q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,S_10q
250,236,7055,0,1,0,12,224,0,-638.8600115763547,6.649991573481735,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,S_2q_o_2pct
237,224,6695,0,1,0,12,212,0,-555.6339115763546,5.376554135058091,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,S_2q_o_5pct
2,2,60,0,0,0,0,2,0,-6.935566666666666,0.007704597701149174,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,S_3q_o_2pct
2,2,60,0,0,0,0,2,0,-6.935566666666666,0.007704597701149174,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,S_3q_o_5pct
2,2,60,0,0,0,0,2,0,-6.935566666666666,0.007704597701149174,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,S_3q_o_10pct
7,6,180,0,0,0,0,6,0,-7.301433333333333,0.0018471264367813656,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,G_final_V10_f0.2_S3q
6,5,150,0,0,0,0,5,0,-6.2749999999999995,0.006310344827586023,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,G_final_V10_f0.2_S5q
2,2,60,0,0,0,0,2,0,-6.935566666666666,0.007704597701149174,Cesmag,Medidor 2 - Cesmag - electricMeter,Cesmag 2,G_solo_S3q_V10
367,42,1243,9,15,6,3,39,0,71.02297701149425,-7.6056031117601925,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,V_ntc_-10+5
15,1,15,1,1,1,1,0,0,0.195,-0.195,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,V_pm10
15,1,15,1,1,1,1,0,0,0.195,-0.195,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,V_pm8
15,1,15,1,1,1,1,0,0,0.195,-0.195,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,V_pm15
15,1,15,1,1,1,1,0,0,0.195,-0.195,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,V_pm20
14,1,15,1,1,0,1,0,0,0.195,0.0,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,V_pm50
101,8,225,4,5,0,4,4,0,41.749618999519,0.8847752187853821,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,f_59.8-60.2
227,52,1495,6,10,4,10,42,1,169.9914236291486,-34.43747760735433,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,f_59.9-60.1
