bandera,muestras,horas,horas_quedan_lt23,horas_quedan_0,energia_kWh_horas_marcadas,delta_kWh_si_quito_muestras
PF_lt_0.5,825910,35160,29699,21516,4063.582531021391,8066.138061913647
PF_lt_0.5_P>1kW,11290,1892,608,0,6369.453453855218,717.8427030074581
PF_lt_0.7,1012192,41898,36896,26045,13888.205390176949,5674.299050453785
PF_lt_0.7_P>1kW,96115,7711,4228,1203,16052.752051378826,-579.2827993566137
PF_lt_0.8,1085776,46508,40684,27188,25251.298223235688,5667.6096910324595
PF_lt_0.85,1269055,56885,47842,30315,56190.46951827652,-1692.086787992177
PF_lt_0.85_P>1kW,300310,22226,12556,4434,56332.52796631038,-8879.974408736973
PF_lt_0.894,1578923,64823,57932,40756,81525.68347734582,-25882.8155880606
PF_lt_0.894_P>1kW,590870,32374,24144,11485,83055.53669917026,-24820.58247190558
PF_lt_0.8_P>1kW,128647,10038,5429,1699,24007.267347309025,-1473.4307886648066
PF_lt_0.9,1612753,65675,58932,42238,85733.0641938441,-28542.45150370661
PF_lt_0.9_P>1kW,620127,33127,25020,12547,87148.9489988769,-26878.184896493658
PF_nan,0,0,0,0,0.0,0.0
S_10pct,498700,37452,22926,5952,29737.913824241976,-1175.7527572343317
S_1pct,1882114,110490,89334,30009,240295.45263804749,5930.874101000604
S_20pct,160798,12838,6210,3083,1307.4263738246457,-1448.5619211592095
S_2pct,1749338,98585,78911,29994,142419.87929691828,5694.855140302046
S_50pct,113744,7133,4223,2774,-3344.7275888564113,-697.1855254765569
S_5pct,623411,46857,30210,6353,46088.946054590844,-1997.5343109166397
S_abs_0.1kW,659881,59836,38193,3170,275378.6247410026,-788.3747564423483
S_abs_0.5kW,118,112,1,0,879.6917326018809,-0.571936214360329
S_abs_1kW,11,11,0,0,117.8579908045977,-0.4804797208538576
S_abs_5kW,0,0,0,0,0.0,0.0
S_nan,0,0,0,0,0.0,0.0
V_alguna_fase_nan,0,0,0,0,0.0,0.0
V_ntc1340_-10+5,376901,15811,13460,10652,21430.86256512281,-9968.87039012242
V_pm10,295575,9908,9907,9900,8704.288132569702,-8694.174695069702
V_pm15,295575,9908,9907,9900,8704.288132569702,-8694.174695069702
V_pm5,381819,16735,13652,10662,29291.167286294367,-10238.396946240828
V_pm50,295573,9908,9907,9898,8704.288132569702,-8693.784695069702
V_pm8,295715,9943,9914,9900,8623.366149811081,-8685.024574932362
f_59-61,0,0,0,0,0.0,0.0
f_59.5-60.5,785,39,36,21,5.501461676094726,-2.7943227872058367
f_59.7-60.3,793,41,36,24,16.033561676094727,-2.963715890654115
f_59.9-60.1,2224,925,62,33,2596.813737116917,-63.45981926901296
f_creg025_59.8-60.2,1118,103,48,24,195.42582897262324,5.574269206437747
f_nan,0,0,0,0,0.0,0.0
