inst,medidor,tres_fases_cero,tres_fases_cero_y_P0,una_o_dos_fases_cero,una_o_dos_cero_P_media,f_cero,f_cero_y_V_cero
Cesmag,Medidor 1 - Cesmag - electricMeter,0,0,0,,0,0
Cesmag,Medidor 2 - Cesmag - electricMeter,0,0,0,,0,0
Cesmag,Medidor 3 - Cesmag - electricMeter,0,0,0,,0,0
Cesmag,Medidor 4 - Cesmag - electricMeter,0,0,0,,0,0
HUDN,Medidor 1 - HUDN - electricMeter,0,0,0,,0,0
HUDN,Medidor 2 - HUDN - electricMeter,0,0,0,,0,0
HUDN,Medidor 3 - HUDN - electricMeter,0,0,0,,0,0
HUDN,Medidor 4 - HUDN - electricMeter,0,0,0,,0,0
Mariana,Medidor 1 - Alvernia - electricMeter,0,0,0,,0,0
Mariana,Medidor 2 - Alvernia - electricMeter,0,0,0,,0,0
Mariana,Medidor 3 - Alvernia - electricMeter,0,0,0,,0,0
Mariana,Medidor 4 - Alvernia - electricMeter,0,0,0,,0,0
UCC,Medidor 1 - UCC - electricMeter,0,0,0,,0,0
UCC,Medidor 2 - UCC - electricMeter,0,0,0,,0,0
UCC,Medidor 3 - UCC - electricMeter,0,0,0,,0,0
UCC,Medidor 4 - UCC - electricMeter,0,0,0,,0,0
Udenar,Bloque Sur - Medidor 1 - electricMeter,0,0,0,,0,0
Udenar,Bloque Sur - Medidor 2 - electricMeter,0,0,0,,0,0
Udenar,Bloque Sur - Medidor 3 - electricMeter,0,0,0,,0,0
Udenar,Bloque Sur - Medidor 4 - electricMeter,0,0,0,,0,0
