frontera,inst,bandera,hora,n_marc,n_hora,P_media_hora,P_marc,r_pasos_max,dP_pasos_med,Vmin,Vmax,fmin,fmax
M1,Udenar,f_59.8-60.2,2025-08-15 00:00:00,3,30,5.0733,4.603666666666666,0.9751243781094576,0.9751243781094532,128.2,131.1,60.23,60.3
M1,Udenar,f_59.8-60.2,2025-08-24 19:00:00,1,30,4.9552000000000005,5.066,0.0,2.950248756218911,128.2,129.4,60.28,60.28
M1,Mariana,V_pm10,2025-08-28 23:00:00,14,18,6.470166666666667,5.522214285714284,1.0000000000000033,2.9751243781094545,19.0,130.0,59.95,60.03
M1,Mariana,V_pm10,2025-08-29 07:00:00,17,17,0.26429411764705885,0.26429411764705885,0.9751243781094536,0.0,42.6,129.4,59.95,60.03
M1,Mariana,V_pm10,2025-08-29 08:00:00,28,28,-0.09799999999999999,-0.09799999999999999,0.9751243781094536,0.0,54.0,129.4,59.94,60.04
M1,Mariana,V_pm10,2025-08-29 09:00:00,3,3,-0.09800000000000002,-0.09800000000000002,0.9751243781094536,0.0,33.3,128.2,59.98,60.04
M1,Mariana,V_pm10,2025-08-29 10:00:00,30,30,-0.09799999999999999,-0.09799999999999999,0.9751243781094536,0.0,33.9,128.2,59.94,60.04
M1,Mariana,V_pm10,2025-08-29 11:00:00,7,30,-0.09799999999999999,-0.09799999999999999,0.9751243781094536,0.0,35.1,127.6,59.97,60.02
M1,Mariana,f_59.8-60.2,2025-08-15 00:00:00,2,30,7.803566666666666,7.6505,1.0000000000000033,3.9502487562189086,129.4,131.7,60.25,60.3
M1,Mariana,f_59.8-60.2,2025-08-24 19:00:00,1,30,6.618066666666666,6.457,0.970149253731341,2.9751243781094545,127.6,129.4,60.27,60.27
M1,Mariana,f_59.8-60.2,2025-10-04 18:00:00,1,30,8.631499999999999,11.627,0.004975124378115537,8.900497512437825,127.1,128.2,60.22,60.22
M1,Mariana,S_3q,2025-04-24 00:00:00,1,30,8.479533333333334,9.24,3.950248756218911,3.9452736318408044,128.2,130.0,59.98,59.98
M1,Mariana,S_3q,2025-05-01 09:00:00,1,30,1.3113333333333332,3.479,8.895522388059709,8.900497512437818,125.9,127.6,59.98,59.98
M1,Mariana,S_3q,2025-05-21 18:00:00,1,30,8.565500000000002,8.245,3.0049751243781166,2.0049751243781135,127.1,128.2,59.98,59.98
M1,Mariana,S_3q,2025-08-06 15:00:00,1,30,12.533866666666665,6.457,3.9452736318408,62.30845771144284,127.1,128.2,60.02,60.02
M1,Mariana,S_3q,2025-09-06 16:00:00,1,30,5.392266666666667,5.664,5.925373134328362,2.9751243781094545,125.9,127.6,60.04,60.04
M1,Mariana,S_3q,2025-09-12 22:00:00,1,30,8.1946,10.034,6.900497512437819,15.820895522388074,130.0,131.7,60.03,60.03
M1,Mariana,S_3q,2025-09-23 00:00:00,1,30,8.227966666666665,9.441,9.90049751243782,8.895522388059714,126.5,127.6,60.03,60.03
M1,Mariana,S_3q,2025-09-26 23:00:00,1,30,11.023766666666669,12.023,7.925373134328364,2.97512437810945,130.5,132.2,60.0,60.0
M1,Mariana,S_3q,2025-10-12 13:00:00,1,30,-1.1922333333333335,-1.691,3.9502487562189086,8.900497512437818,128.2,129.4,59.98,59.98
M1,Mariana,S_3q,2025-12-01 06:00:00,1,30,6.4388000000000005,5.066,4.95024875621891,4.95024875621891,128.8,130.0,60.02,60.02
M1,Mariana,S_5q,2025-05-01 09:00:00,1,30,1.3113333333333332,3.479,8.895522388059709,8.900497512437818,125.9,127.6,59.98,59.98
M1,Mariana,S_5q,2025-09-06 16:00:00,1,30,5.392266666666667,5.664,5.925373134328362,2.9751243781094545,125.9,127.6,60.04,60.04
M1,Mariana,S_5q,2025-09-12 22:00:00,1,30,8.1946,10.034,6.900497512437819,15.820895522388074,130.0,131.7,60.03,60.03
M1,Mariana,S_5q,2025-09-23 00:00:00,1,30,8.227966666666665,9.441,9.90049751243782,8.895522388059714,126.5,127.6,60.03,60.03
M1,Mariana,S_5q,2025-09-26 23:00:00,1,30,11.023766666666669,12.023,7.925373134328364,2.97512437810945,130.5,132.2,60.0,60.0
M1,UCC,f_59.8-60.2,2025-08-15 00:00:00,3,30,8.784766666666666,8.912666666666667,0.029850746268657902,1.9751243781094576,128.2,131.7,60.22,60.3
M1,UCC,f_59.8-60.2,2025-08-24 19:00:00,1,30,8.3867,10.632,1.0000000000000044,11.875621890547288,127.6,130.5,60.27,60.27
M1,UCC,f_59.8-60.2,2025-10-04 18:00:00,1,30,8.327333333333334,6.457,1.0,3.975124378109462,127.1,128.8,60.23,60.23
M1,UCC,S_3q,2025-05-23 08:00:00,1,30,52.3017,58.328,9.900497512437804,34.587064676617004,120.8,128.8,60.0,60.0
M1,UCC,S_3q,2025-07-20 07:00:00,1,30,6.531700000000001,3.479,3.950248756218913,7.895522388059715,130.0,132.2,59.96,59.96
M1,UCC,S_5q,2025-05-23 08:00:00,1,30,52.3017,58.328,9.900497512437804,34.587064676617004,120.8,128.8,60.0,60.0
M1,HUDN,f_59.8-60.2,2025-08-15 00:00:00,3,30,8.883633333333332,9.257666666666667,1.0099999999999945,7.930000000000021,125.4,128.8,60.21,60.31
M1,HUDN,f_59.8-60.2,2025-08-24 19:00:00,1,30,9.5395,10.482,0.0,14.890000000000043,123.6,125.4,60.28,60.28
M1,HUDN,S_3q,2025-04-06 11:00:00,1,30,8.469266666666666,8.892,5.95000000000001,12.910000000000041,127.1,128.2,60.01,60.01
M1,HUDN,S_3q,2025-04-10 07:00:00,1,30,9.251366666666668,7.601,9.960000000000049,16.910000000000057,127.6,128.8,60.0,60.0
M1,HUDN,S_3q,2025-04-19 04:00:00,1,30,7.3335,7.998,3.000000000000009,10.960000000000031,131.7,132.8,60.02,60.02
M1,HUDN,S_3q,2025-04-24 14:00:00,1,30,8.025666666666666,8.694,11.930000000000039,5.980000000000011,125.4,126.5,59.98,59.98
M1,HUDN,S_3q,2025-04-30 12:00:00,1,30,8.535933333333334,8.892,4.980000000000011,11.900000000000038,127.1,129.4,59.98,59.98
M1,HUDN,S_3q,2025-05-01 20:00:00,1,30,8.880233333333333,10.384,3.960000000000022,16.900000000000055,131.1,131.1,60.02,60.02
M1,HUDN,S_3q,2025-05-22 09:00:00,1,29,9.527689655172413,9.49,4.95000000000001,11.930000000000039,127.1,128.2,60.01,60.01
M1,HUDN,S_3q,2025-05-25 07:00:00,1,30,8.343833333333333,9.094,6.960000000000022,2.9900000000000055,130.0,130.5,59.97,59.97
M1,HUDN,S_3q,2025-05-29 15:00:00,1,29,8.588724137931035,10.882,12.91000000000005,27.830000000000094,119.6,124.8,59.97,59.97
M1,HUDN,S_3q,2025-06-02 00:00:00,1,30,8.648533333333335,8.099,3.9700000000000166,10.930000000000039,125.9,129.4,60.0,60.0
M1,HUDN,S_3q,2025-06-14 05:00:00,1,29,7.6771034482758616,8.496,9.96000000000004,12.91000000000005,126.5,128.2,59.98,59.98
M1,HUDN,S_3q,2025-07-02 12:00:00,1,30,8.542433333333332,9.094,3.9700000000000166,12.900000000000055,121.3,124.8,60.0,60.0
M1,HUDN,S_3q,2025-07-08 00:00:00,1,30,8.0885,9.191,3.960000000000022,17.880000000000074,124.8,127.6,60.01,60.01
M1,HUDN,S_3q,2025-07-13 03:00:00,1,30,7.3472333333333335,7.9,4.9400000000000155,10.920000000000044,126.5,130.5,60.0,60.0
M1,HUDN,S_3q,2025-07-30 00:00:00,1,30,9.168333333333333,9.789,3.980000000000011,4.970000000000017,132.2,132.8,60.03,60.03
M1,HUDN,S_3q,2025-08-10 19:00:00,1,30,9.437033333333334,10.482,4.000000000000018,5.95000000000001,125.4,128.2,60.01,60.01
M1,HUDN,S_3q,2025-08-18 01:00:00,1,30,6.919299999999999,6.112,5.950000000000019,17.880000000000067,126.5,128.8,59.97,59.97
M1,HUDN,S_3q,2025-08-21 09:00:00,1,30,9.072533333333334,9.689,4.9400000000000155,12.91000000000005,124.2,125.4,59.95,59.95
M1,HUDN,S_3q,2025-09-04 03:00:00,1,30,7.628066666666667,8.197,7.970000000000034,1.9899999999999967,127.1,130.0,60.01,60.01
M1,HUDN,S_3q,2025-11-07 07:00:00,1,30,10.457233333333331,11.578,8.940000000000033,11.940000000000033,127.6,130.0,59.96,59.96
M1,HUDN,S_3q,2025-11-08 18:00:00,1,30,10.5231,11.477,4.980000000000011,10.930000000000039,128.8,129.4,59.94,59.94
M1,HUDN,S_3q,2025-11-11 10:00:00,1,30,10.129433333333335,8.099,13.91000000000005,6.960000000000022,128.2,129.4,59.97,59.97
M1,HUDN,S_3q,2025-11-20 16:00:00,1,30,9.174999999999999,8.694,3.9700000000000166,6.960000000000022,129.4,131.7,60.01,60.01
M1,HUDN,S_3q,2025-12-15 19:00:00,1,30,10.702233333333332,11.279,8.96000000000004,8.950000000000028,129.4,130.5,59.99,59.99
M1,HUDN,S_5q,2025-04-06 11:00:00,1,30,8.469266666666666,8.892,5.95000000000001,12.910000000000041,127.1,128.2,60.01,60.01
M1,HUDN,S_5q,2025-04-10 07:00:00,1,30,9.251366666666668,7.601,9.960000000000049,16.910000000000057,127.6,128.8,60.0,60.0
M1,HUDN,S_5q,2025-04-24 14:00:00,1,30,8.025666666666666,8.694,11.930000000000039,5.980000000000011,125.4,126.5,59.98,59.98
M1,HUDN,S_5q,2025-05-25 07:00:00,1,30,8.343833333333333,9.094,6.960000000000022,2.9900000000000055,130.0,130.5,59.97,59.97
M1,HUDN,S_5q,2025-05-29 15:00:00,1,29,8.588724137931035,10.882,12.91000000000005,27.830000000000094,119.6,124.8,59.97,59.97
M1,HUDN,S_5q,2025-06-14 05:00:00,1,29,7.6771034482758616,8.496,9.96000000000004,12.91000000000005,126.5,128.2,59.98,59.98
M1,HUDN,S_5q,2025-08-18 01:00:00,1,30,6.919299999999999,6.112,5.950000000000019,17.880000000000067,126.5,128.8,59.97,59.97
M1,HUDN,S_5q,2025-09-04 03:00:00,1,30,7.628066666666667,8.197,7.970000000000034,1.9899999999999967,127.1,130.0,60.01,60.01
M1,HUDN,S_5q,2025-11-07 07:00:00,1,30,10.457233333333331,11.578,8.940000000000033,11.940000000000033,127.6,130.0,59.96,59.96
M1,HUDN,S_5q,2025-11-11 10:00:00,1,30,10.129433333333335,8.099,13.91000000000005,6.960000000000022,128.2,129.4,59.97,59.97
M1,HUDN,S_5q,2025-12-15 19:00:00,1,30,10.702233333333332,11.279,8.96000000000004,8.950000000000028,129.4,130.5,59.99,59.99
M1,Cesmag,V_pm10,2025-06-17 06:00:00,15,15,0.19499999999999995,0.19499999999999995,0.9701492537313429,0.0,59.2,128.2,59.97,60.06
M1,Cesmag,f_59.8-60.2,2025-04-04 16:00:00,27,30,6.8091,6.7044444444444435,1.0298507462686557,0.9726368159203977,128.2,129.4,60.21,60.29
M1,Cesmag,f_59.8-60.2,2025-04-04 17:00:00,24,28,5.821678571428571,5.947208333333333,1.0049751243781089,0.9726368159203977,128.2,129.4,60.26,60.3
M1,Cesmag,f_59.8-60.2,2025-06-17 07:00:00,3,22,5.548863636363637,5.37,1.0,0.0,128.2,128.8,60.21,60.22
M1,Cesmag,f_59.8-60.2,2025-08-15 00:00:00,2,30,2.9779999999999993,2.978,0.027363184079602282,0.0,129.4,131.1,60.25,60.3
M1,Cesmag,f_59.8-60.2,2025-08-24 19:00:00,1,30,2.9779999999999993,2.978,0.027363184079602282,0.0,129.4,130.5,60.27,60.27
M1,Cesmag,f_59.8-60.2,2025-09-16 11:00:00,21,27,8.870592592592592,8.79295238095238,1.0049751243781089,2.0,127.6,128.8,60.21,60.25
M1,Cesmag,f_59.8-60.2,2025-09-16 12:00:00,25,28,11.27,10.9448,1.0049751243781089,3.9477611940298534,127.6,128.8,60.24,60.25
M1,Cesmag,S_3q,2025-09-23 15:00:00,1,30,10.571666666666667,11.328,4.9203980099502465,3.947761194029849,129.4,131.1,60.03,60.03
M3,Udenar,V_pm10,2025-04-05 12:00:00,4,30,0.6709999999999998,0.671,0.040000000000000174,0.0,189.8,216.2,59.95,60.08
M3,Udenar,V_pm10,2025-04-05 13:00:00,2,30,0.6709999999999998,0.671,0.040000000000000174,0.0,188.6,215.6,59.97,60.02
M3,Udenar,V_pm10,2025-04-05 14:00:00,1,30,0.6576666666666665,0.671,0.040000000000000174,0.0,196.7,217.4,59.98,59.98
M3,Udenar,f_59.8-60.2,2025-08-15 00:00:00,3,30,0.3259333333333333,0.273,1.0000000000000033,0.0,221.4,226.0,60.23,60.3
M3,Udenar,f_59.8-60.2,2025-08-24 19:00:00,1,30,0.48783333333333334,0.471,1.0200000000000045,2.0000000000000067,221.4,223.7,60.28,60.28
M3,Mariana,V_pm10,2025-08-28 23:00:00,14,18,6.470166666666667,5.522214285714284,1.0000000000000033,2.9751243781094545,19.0,130.0,59.95,60.03
M3,Mariana,V_pm10,2025-08-29 07:00:00,17,17,0.26429411764705885,0.26429411764705885,0.9751243781094536,0.0,42.6,129.4,59.95,60.03
M3,Mariana,V_pm10,2025-08-29 08:00:00,28,28,-0.09799999999999999,-0.09799999999999999,0.9751243781094536,0.0,54.0,129.4,59.94,60.04
M3,Mariana,V_pm10,2025-08-29 09:00:00,3,3,-0.09800000000000002,-0.09800000000000002,0.9751243781094536,0.0,33.3,128.2,59.98,60.04
M3,Mariana,V_pm10,2025-08-29 10:00:00,30,30,-0.09799999999999999,-0.09799999999999999,0.9751243781094536,0.0,33.9,128.2,59.94,60.04
M3,Mariana,V_pm10,2025-08-29 11:00:00,7,30,-0.09799999999999999,-0.09799999999999999,0.9751243781094536,0.0,35.1,127.6,59.97,60.02
M3,Mariana,f_59.8-60.2,2025-08-15 00:00:00,2,30,7.803566666666666,7.6505,1.0000000000000033,3.9502487562189086,129.4,131.7,60.25,60.3
M3,Mariana,f_59.8-60.2,2025-08-24 19:00:00,1,30,6.618066666666666,6.457,0.970149253731341,2.9751243781094545,127.6,129.4,60.27,60.27
M3,Mariana,f_59.8-60.2,2025-10-04 18:00:00,1,30,8.631499999999999,11.627,0.004975124378115537,8.900497512437825,127.1,128.2,60.22,60.22
M3,Mariana,S_3q,2025-04-24 00:00:00,1,30,8.479533333333334,9.24,3.950248756218911,3.9452736318408044,128.2,130.0,59.98,59.98
M3,Mariana,S_3q,2025-05-01 09:00:00,1,30,1.3113333333333332,3.479,8.895522388059709,8.900497512437818,125.9,127.6,59.98,59.98
M3,Mariana,S_3q,2025-05-21 18:00:00,1,30,8.565500000000002,8.245,3.0049751243781166,2.0049751243781135,127.1,128.2,59.98,59.98
M3,Mariana,S_3q,2025-08-06 15:00:00,1,30,12.533866666666665,6.457,3.9452736318408,62.30845771144284,127.1,128.2,60.02,60.02
M3,Mariana,S_3q,2025-09-06 16:00:00,1,30,5.392266666666667,5.664,5.925373134328362,2.9751243781094545,125.9,127.6,60.04,60.04
M3,Mariana,S_3q,2025-09-12 22:00:00,1,30,8.1946,10.034,6.900497512437819,15.820895522388074,130.0,131.7,60.03,60.03
M3,Mariana,S_3q,2025-09-23 00:00:00,1,30,8.227966666666665,9.441,9.90049751243782,8.895522388059714,126.5,127.6,60.03,60.03
M3,Mariana,S_3q,2025-09-26 23:00:00,1,30,11.023766666666669,12.023,7.925373134328364,2.97512437810945,130.5,132.2,60.0,60.0
M3,Mariana,S_3q,2025-10-12 13:00:00,1,30,-1.1922333333333335,-1.691,3.9502487562189086,8.900497512437818,128.2,129.4,59.98,59.98
M3,Mariana,S_3q,2025-12-01 06:00:00,1,30,6.4388000000000005,5.066,4.95024875621891,4.95024875621891,128.8,130.0,60.02,60.02
M3,Mariana,S_5q,2025-05-01 09:00:00,1,30,1.3113333333333332,3.479,8.895522388059709,8.900497512437818,125.9,127.6,59.98,59.98
M3,Mariana,S_5q,2025-09-06 16:00:00,1,30,5.392266666666667,5.664,5.925373134328362,2.9751243781094545,125.9,127.6,60.04,60.04
M3,Mariana,S_5q,2025-09-12 22:00:00,1,30,8.1946,10.034,6.900497512437819,15.820895522388074,130.0,131.7,60.03,60.03
M3,Mariana,S_5q,2025-09-23 00:00:00,1,30,8.227966666666665,9.441,9.90049751243782,8.895522388059714,126.5,127.6,60.03,60.03
M3,Mariana,S_5q,2025-09-26 23:00:00,1,30,11.023766666666669,12.023,7.925373134328364,2.97512437810945,130.5,132.2,60.0,60.0
M3,UCC,f_59.8-60.2,2025-08-15 00:00:00,3,29,1.371551724137931,1.3,0.040000000000000174,12.920000000000044,128.2,131.7,60.22,60.3
M3,UCC,f_59.8-60.2,2025-08-24 19:00:00,1,30,1.2982333333333331,1.863,0.040000000000000174,5.98000000000002,127.6,130.5,60.27,60.27
M3,HUDN,f_59.8-60.2,2025-08-15 00:00:00,3,30,1.5090999999999997,1.556,1.0327455919395474,1.0125944584382867,125.4,128.8,60.22,60.3
M3,HUDN,f_59.8-60.2,2025-08-24 19:00:00,1,30,1.6095999999999995,1.489,0.02015113350126059,0.0,123.6,125.4,60.28,60.28
M3,HUDN,f_59.8-60.2,2025-10-04 18:00:00,1,30,1.8084333333333333,1.69,1.0327455919395474,2.0000000000000018,128.8,130.5,60.22,60.22
M3,HUDN,S_3q,2025-07-24 14:00:00,1,30,2.2314000000000003,1.886,3.042821158690179,3.0125944584382887,128.8,129.4,60.03,60.03
M3,HUDN,S_3q,2025-09-21 21:00:00,1,30,2.0732000000000004,2.087,3.032745591939549,5.012594458438287,125.9,128.2,59.98,59.98
M3,HUDN,S_3q,2025-10-28 00:00:00,1,30,2.477133333333333,2.087,3.0428211586901757,1.9999999999999998,131.1,131.7,59.95,59.95
M3,Cesmag,V_pm10,2025-06-17 06:00:00,15,15,0.19499999999999995,0.19499999999999995,0.0,0.0,59.2,128.2,59.96,60.06
M3,Cesmag,f_59.8-60.2,2025-04-04 16:00:00,26,30,7.778066666666666,7.537653846153845,1.0024875621890534,1.0024875621890557,128.2,129.4,60.21,60.29
M3,Cesmag,f_59.8-60.2,2025-04-04 17:00:00,24,28,5.4503571428571425,5.812541666666665,1.0024875621890557,1.975124378109451,128.2,129.4,60.26,60.3
M3,Cesmag,f_59.8-60.2,2025-06-17 07:00:00,3,22,1.844045454545454,1.391,1.0024875621890545,0.0,128.2,128.8,60.21,60.22
M3,Cesmag,f_59.8-60.2,2025-08-15 00:00:00,2,30,1.2703999999999995,1.19,1.0024875621890545,0.9999999999999998,129.4,131.1,60.25,60.3
M3,Cesmag,f_59.8-60.2,2025-08-24 19:00:00,1,30,1.0828,1.391,1.0024875621890545,0.9999999999999998,130.0,131.1,60.28,60.28
M3,Cesmag,f_59.8-60.2,2025-09-16 11:00:00,19,27,13.16859259259259,12.666736842105264,1.0024875621890557,1.9751243781094532,127.6,128.8,60.21,60.25
M3,Cesmag,f_59.8-60.2,2025-09-16 12:00:00,25,28,9.764357142857142,9.73596,1.0049751243781044,1.0024875621890557,127.6,128.8,60.24,60.25
M3,Cesmag,f_59.8-60.2,2025-10-04 18:00:00,1,30,1.3909999999999996,1.391,1.0024875621890545,0.0,127.1,128.8,60.21,60.21
