med,paso_kW,nominal_modal,pct_muestras_nominal_modal,VA_med,VB_med,VC_med,Vmin_rel_min,Vmax_rel_max,r_pasos_p50,r_pasos_p99,r_pasos_p999,r_pasos_max,n_gt_1q,n_gt_1.5q,n_gt_2q,n_gt_3q,n_gt_5q,n_gt_10q,dP_med_global_pasos,dP_med_en_r_gt_2q_pasos,frac_r_gt_2q_con_dP_gt_5q,frac_r_gt_3q_con_dP_gt_5q
Cesmag 1,0.40200000000000014,127.0,100.0,130.0,128.8,130.0,0.4661417322834646,1.0590551181102361,0.027363184079602282,1.0024875621890568,1.032338308457709,4.9203980099502465,7610,38,8,1,0,0,0.0,3.947761194029849,0.375,0.0
Cesmag 2,0.2009999999999998,127.0,100.0,127.1,126.5,125.9,0.9417322834645668,1.0456692913385828,0.975124378109454,1.9502487562189075,2.0000000000000018,5.955223880597017,17154,2623,250,2,1,0,0.0,4.920398009950249,0.476,0.0
Cesmag 3,0.40200000000000014,127.0,100.0,130.0,128.8,130.0,0.4661417322834646,1.0637795275590551,0.0024875621890547276,1.0049751243781044,1.0323383084577111,2.00746268656716,43890,47,8,0,0,0,0.0,1.4888059701492518,0.0,
Cesmag 4,0.059499999999999886,440.0,64.71721387654405,434.70000000000005,432.65,434.70000000000005,0.9304545454545454,1.0409448818897638,0.8067226890756319,1.050420168067229,1.9579831932773148,4.134453781512613,51629,1181,82,3,0,0,0.0,7.117647058823547,0.6707317073170732,1.0
HUDN 1,0.09999999999999964,127.0,100.0,128.8,128.2,128.2,0.9322834645669292,1.073228346456693,0.029999999999992363,1.0300000000000011,1.0400000000000136,13.91000000000005,25211,31,27,24,11,3,8.940000000000033,10.930000000000039,0.8148148148148148,0.875
HUDN 2,0.20099999999999996,127.0,100.0,128.8,128.2,128.2,0.9283464566929134,1.073228346456693,0.9502487562189048,1.0199004975124384,1.9751243781094532,1.9950248756218911,34121,275,0,0,0,0,0.0,,,
HUDN 3,0.19849999999999993,127.0,100.0,128.8,128.2,128.2,0.9283464566929134,1.073228346456693,0.03022670025188809,1.0327455919395474,1.9697732997481117,3.042821158690179,66579,184,155,3,0,0,1.0125944584382867,0.987405541561713,0.10967741935483871,0.3333333333333333
HUDN 4,0.10000000000000009,127.0,100.0,128.8,128.8,128.2,0.9322834645669292,1.0779527559055118,0.03000000000000111,1.0399999999999956,1.9399999999999977,2.049999999999999,25645,183,49,0,0,0,3.999999999999998,3.999999999999998,0.32653061224489793,
Marian 1,0.20099999999999985,127.0,100.0,128.2,128.2,129.4,0.14960629921259844,1.0551181102362204,0.02487562189055117,1.0248756218905457,1.0348258706467768,9.90049751243782,25253,172,31,10,5,0,5.925373134328362,4.95024875621891,0.4838709677419355,0.5
Marian 2,0.05000000000000002,127.0,100.0,128.2,128.2,129.4,0.14960629921259844,1.0551181102362204,0.9599999999999999,0.9800000000000072,1.0200000000000027,2.0400000000000054,839,14,3,0,0,0,0.0,1.019999999999985,0.3333333333333333,
Marian 3,0.05000000000000003,127.0,100.0,128.2,128.2,129.4,0.14960629921259844,1.0551181102362204,0.9599999999999995,0.9999999999999998,1.9599999999999986,1.9799999999999989,1704,552,0,0,0,0,0.0,,,
Marian 4,,127.0,100.0,128.2,128.2,129.4,0.14960629921259844,1.0551181102362204,,,,,0,0,0,0,0,0,,,,
UCC 1,0.20099999999999962,127.0,100.0,127.1,130.0,128.2,0.9236220472440945,1.0551181102362204,0.0248756218905512,1.0248756218905513,1.0348258706467601,9.900497512437804,24785,3,2,2,1,0,6.925373134328386,21.24129353233836,1.0,1.0
UCC 2,0.04999999999999982,127.0,100.0,127.1,130.0,128.2,0.9188976377952757,1.0551181102362204,0.05999999999999999,1.0200000000000067,1.0399999999999958,12.940000000000042,8533,7,3,3,2,1,0.9800000000000021,12.940000000000042,1.0,1.0
UCC 3,0.04999999999999982,127.0,100.0,127.1,130.0,128.2,0.9188976377952757,1.0551181102362204,0.02000000000000675,1.0200000000000067,1.0400000000000136,1.0600000000000203,14946,0,0,0,0,0,14.920000000000053,,,
UCC 4,0.04999999999999982,127.0,100.0,127.1,130.0,127.6,0.9188976377952757,1.0551181102362204,0.02000000000000675,1.0200000000000067,1.0400000000000091,15.960000000000058,11104,2,2,2,2,1,0.0,8.46000000000003,0.5,0.5
Udenar 1,0.20099999999999962,127.0,100.0,128.2,129.4,128.2,0.9236220472440945,1.0456692913385828,0.02487562189054899,1.0248756218905468,1.0348258706467601,2.0049751243781135,22585,1,1,0,0,0,2.9452736318408,2.950248756218911,0.0,
Udenar 2,,127.0,100.0,128.2,128.8,128.2,0.9188976377952757,1.0456692913385828,,,,,0,0,0,0,0,0,,,,
Udenar 3,0.04999999999999982,220.0,100.0,222.5,222.5,220.8,0.8572727272727273,1.0427272727272727,0.04000000000000073,1.0200000000000067,1.0400000000000047,1.9800000000000066,58452,1,0,0,0,0,0.0,,,
Udenar 4,0.09999999999999998,127.0,100.0,129.4,129.4,130.5,0.9645669291338582,1.0866141732283465,0.9800000000000002,1.02,1.0200000000000011,2.9899999999999998,8861,25,1,0,0,0,0.97,14.920000000000007,1.0,
