frontera,inst,medidor,hora,n_muestras,P_media,V_min,V_max,f_min,f_max,PF_min,PF_max,absr_max,rel_r_max,banderas_activas
M1,Mariana,Medidor 1 - Alvernia - electricMeter,2025-04-24 08:00,30,34.89216666666667,123.0,128.2,59.93,60.05,0.913,0.991,0.39699999999999847,0.010886554967504826,"S_1pct, S_abs_0.1kW"
M1,Mariana,Medidor 1 - Alvernia - electricMeter,2025-04-24 09:00,30,34.5142,123.0,126.5,59.95,60.04,0.929,0.992,0.20200000000000173,0.007787801680931519,S_abs_0.1kW
M1,Mariana,Medidor 1 - Alvernia - electricMeter,2025-04-24 10:00,30,34.8128,123.0,126.5,59.96,60.05,0.942,0.993,0.20200000000000173,0.006990191772800429,S_abs_0.1kW
M1,Mariana,Medidor 1 - Alvernia - electricMeter,2025-10-01 09:00,30,34.36266666666666,125.4,128.2,59.95,60.05,0.866,0.959,0.2079999999999984,0.006719711152714528,"PF_lt_0.894, PF_lt_0.894_P>1kW, PF_lt_0.9, PF_lt_0.9_P>1kW, S_abs_0.1kW"
M3,Mariana,Medidor 1 - Alvernia - electricMeter,2025-04-24 08:00,30,34.89216666666667,123.0,128.2,59.93,60.05,0.913,0.991,0.39699999999999847,0.010886554967504826,"S_1pct, S_abs_0.1kW"
M3,Mariana,Medidor 1 - Alvernia - electricMeter,2025-04-24 09:00,30,34.5142,123.0,126.5,59.95,60.04,0.929,0.992,0.20200000000000173,0.007787801680931519,S_abs_0.1kW
M3,Mariana,Medidor 1 - Alvernia - electricMeter,2025-04-24 10:00,30,34.8128,123.0,126.5,59.96,60.05,0.942,0.993,0.20200000000000173,0.006990191772800429,S_abs_0.1kW
M3,Mariana,Medidor 1 - Alvernia - electricMeter,2025-10-01 09:00,30,34.36266666666666,125.4,128.2,59.95,60.05,0.866,0.959,0.2079999999999984,0.006719711152714528,"PF_lt_0.894, PF_lt_0.894_P>1kW, PF_lt_0.9, PF_lt_0.9_P>1kW, S_abs_0.1kW"
M3,Mariana,Medidor 1 - Alvernia - electricMeter,2025-08-14 08:00,30,31.599566666666664,124.8,128.8,59.93,60.02,0.889,0.977,0.2020000000000053,0.008279551630434794,"PF_lt_0.894, PF_lt_0.894_P>1kW, PF_lt_0.9, PF_lt_0.9_P>1kW, S_abs_0.1kW"
M3,Cesmag,Medidor 3 - Cesmag - electricMeter,2025-04-04 09:00,30,18.032433333333334,128.2,130.5,59.91,60.05,-0.999,1.0,0.41499999999999915,0.024347826086956598,"S_1pct, S_2pct, S_abs_0.1kW"
M3,Cesmag,Medidor 3 - Cesmag - electricMeter,2025-05-09 09:00,30,19.17216666666667,127.6,130.0,59.94,60.02,-0.999,1.0,0.4039999999999999,0.021341947783720738,"S_1pct, S_2pct, S_abs_0.1kW"
