hora,vendedor,comprador,kWh,precio,prima_vendedor,ahorro_comprador,en_piso,en_techo
7,Udenar,Mariana,0.04799880211014686,496.53649538390647,18.816802173866527,15.281546845181799,False,False
7,Udenar,UCC,0.04798193746256624,515.4744315372279,19.718869653358354,14.3674987200487,False,False
7,Udenar,HUDN,0.04798985403370918,506.6178557691546,19.29709730416951,14.794895001377489,False,False
7,Udenar,Cesmag,0.048023306388568915,468.66983162226643,17.48815916840577,16.62759769003359,False,False
8,Udenar,Mariana,0.7014861317264656,104.51,0.0,498.3357479784811,True,False
8,Udenar,UCC,0.49177348157734935,814.91,349.35588131254895,0.0,False,True
8,Udenar,HUDN,0.4917694408883425,814.91,349.35301080707853,0.0,False,True
8,Udenar,Cesmag,0.7014628794022357,104.51,0.0,498.3192295273482,True,False
9,Udenar,Mariana,1.7670830649920293,814.9099999999993,1255.3358093703364,1.2053645139021883e-12,False,True
9,Udenar,UCC,1.7671248144156657,814.9099999998011,1255.3654681605376,3.513720571860403e-10,False,True
9,Udenar,HUDN,2.5201281986268667,104.51,0.0,1790.299072304526,True,False
9,Udenar,Cesmag,2.0520859027234484,104.51,0.0,1457.8018252947377,True,False
10,Udenar,Mariana,2.867411726634708,814.91,2037.0092906012965,0.0,False,True
10,HUDN,Mariana,0.4967499004292399,814.91,352.89112926493203,0.0,False,True
10,Udenar,UCC,9.336048578704984,104.51,0.0,6632.3289103120205,True,False
10,HUDN,UCC,1.6173754045214361,104.51,0.0,1148.983487372028,True,False
10,Udenar,Cesmag,0.09559307798117231,814.91,67.90932259782481,0.0,False,True
10,HUDN,Cesmag,0.014723492268271196,814.91,10.459568907379857,0.0,False,True
11,Udenar,Mariana,2.036793547628108,104.51,0.0,1446.938136235008,True,False
11,Udenar,UCC,2.036892293937719,104.51,0.0,1447.0082856133556,True,False
11,Udenar,HUDN,2.03667630847865,104.51,0.0,1446.854849543233,True,False
11,Udenar,Cesmag,0.7902054350163782,814.91,561.361941035635,0.0,False,True
12,Udenar,Mariana,1.839468593879118,104.51,0.0,1306.7584890917253,True,False
12,Udenar,UCC,1.839560376816911,104.51,0.0,1306.8236916907335,True,False
12,Udenar,HUDN,1.8395161153545612,104.51,0.0,1306.79224834788,True,False
12,Udenar,Cesmag,1.491767981165762,814.91,1059.7519738201572,0.0,False,True
13,Udenar,Mariana,2.6148750209170903,104.51,0.0,1857.607214859501,True,False
13,Udenar,UCC,2.706458218698196,104.51,0.0,1922.6679185631983,True,False
13,Udenar,HUDN,2.06914532016583,814.9099999997027,1469.9208354451905,6.151384482374903e-10,False,True
13,Udenar,Cesmag,1.9975516582626043,814.91,1419.0606980297541,0.0,False,True
31,Udenar,Mariana,0.2223885782945546,175.1087456370833,14.8730691603541,142.28449134884173,False,False
31,Udenar,UCC,0.16172759760746946,814.91,114.2896586772465,0.0,False,True
31,Udenar,HUDN,0.1617956128594679,814.91,114.33772369552877,0.0,False,True
31,Udenar,Cesmag,0.22238387709598026,181.4264779926159,16.277716565768518,140.8765217004188,False,False
32,Udenar,Mariana,0.9351555923029051,814.91,660.8557539686169,0.0,False,True
