k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
55,1,4,aggregate,75.72539605678891,70.5262081454857,77.45935899137967,0,4,96.73771983138332,0.9786773779512614,75.60072940481221
55,1,4,matrix,75.72402121730629,70.58215890844738,77.81077161929912,0,4,96.74560609257432,0.9786773779512614,75.59766870245738
200,4,1,aggregate,19.43289275061918,19.43289275061918,19.43289275061918,0,1,100.0000000000006,0.2529000000000017,19.43289275061918
200,4,1,matrix,19.432890671930995,19.432890671930995,19.432890671930995,0,1,100.00000000000249,0.2529000000000064,19.43289067193099
227,4,1,aggregate,19.357311230794323,19.357311230794323,19.357311230794323,0,1,99.99999999999989,0.3938666666666664,19.357311230794327
227,4,1,matrix,19.35730193591252,19.35730193591252,19.35730193591252,0,1,99.99999999945383,0.3938666666645158,19.35730193591252
328,4,1,aggregate,18.65112861151244,18.65112861151244,18.65112861151244,0,1,100.0,0.7835333333333335,18.65112861151244
328,4,1,matrix,18.6510822143616,18.6510822143616,18.6510822143616,0,1,100.00000000000004,0.7835333333333335,18.6510822143616
347,4,1,aggregate,18.708225218116574,18.708225218116574,18.708225218116574,0,1,100.00000000001477,0.15756666666669,18.708225218116574
347,4,1,matrix,18.708296511560363,18.708296511560363,18.708296511560363,0,1,100.00000000000004,0.1575666666666668,18.70829651156036
392,4,1,aggregate,18.7562527580203,18.7562527580203,18.7562527580203,0,1,99.9999999999999,0.7204666666666661,18.756252758020302
392,4,1,matrix,18.756232613311585,18.756232613311585,18.756232613311585,0,1,99.99999999996966,0.7204666666664483,18.75623261331159
416,4,1,aggregate,19.611608390654748,19.611608390654748,19.611608390654748,0,1,99.99999999999991,4.930633333333331,19.611608390654744
416,4,1,matrix,19.61157709158173,19.61157709158173,19.61157709158173,0,1,99.99999999999996,4.930633333333333,19.611577091581733
422,4,1,aggregate,18.844358168437765,18.844358168437765,18.844358168437765,0,1,99.99999999999996,3.3749,18.844358168437765
422,4,1,matrix,18.84431646154372,18.84431646154372,18.84431646154372,0,1,100.00000000000128,3.374900000000043,18.844316461543723
443,4,1,aggregate,18.68918852361482,18.68918852361482,18.68918852361482,0,1,100.0,9.971133333333334,18.689188523614817
443,4,1,matrix,18.689212708644227,18.689212708644227,18.689212708644227,0,1,100.0,9.971133333333334,18.689212708644224
463,2,3,aggregate,64.95550991252631,42.68370571104235,93.8769234351094,0,3,99.9999308229024,3.1334812907481995,56.108083530254696
463,2,3,matrix,61.1897033283757,9.67461345547877,100.0,1,3,96.53820255754368,3.1334812907482053,99.99278132158264
491,4,1,aggregate,18.684454711555773,18.684454711555773,18.684454711555773,0,1,100.0,6.916599999999998,18.684454711555773
491,4,1,matrix,18.68446257195672,18.68446257195672,18.68446257195672,0,1,100.0,6.916599999999999,18.68446257195672
