frontera,paso_min,autoconsumo_kWh,lado_corto_kWh,bloques,auto_Udenar,auto_Mariana,auto_UCC,auto_HUDN,auto_Cesmag,horas_base,autoconsumo_vs_nativo_pct,lado_corto_vs_nativo_pct
M1,60,48970.179652346094,3791.1996788551,5338,9424.43001901276,10558.0177,12837.349366666667,10635.895133333333,5514.487433333334,5338,4.23686447595184,-27.14912787087641
M1,30,48564.786934958414,4035.797442590005,10676,9256.921234958412,10520.407200000001,12806.940833333334,10513.102566666668,5467.4151,5338,3.373954312218075,-22.448990205138276
M1,20,48357.629193229695,4155.450670926586,16014,9191.2165932297,10495.2592,12785.8218,10444.078033333333,5441.253566666666,5338,2.9330028269872965,-20.149759677661162
M1,15,48221.78126777729,4238.173449937788,21352,9148.475924027289,10476.621790178573,12773.413477678572,10401.01053125,5422.259544642857,5338,2.643839873221343,-18.560176667955187
M1,12,48112.56932955404,4317.686843314644,26690,9116.576296220706,10463.105566666667,12766.834333333332,10359.264233333335,5406.7889000000005,5338,2.4113737053503836,-17.03226451767791
M1,10,48029.91884434552,4376.752057081393,32028,9094.75737767886,10452.926666666666,12758.13,10331.279866666666,5392.824933333333,5338,2.2354456714588578,-15.897280159191086
M1,6,47766.44735150337,4570.046690810267,53380,9025.155518170033,10417.8165,12739.449366666668,10246.745933333334,5337.280033333333,5338,1.6746259544875297,-12.182972331099984
M1,4,47538.54225143354,4748.244973750835,80070,8971.509884766876,10387.165399999998,12721.9948,10169.8247,5288.047466666667,5338,1.1895120913567592,-8.758752710978811
M1,2,46979.71288616788,5204.055309228745,160140,8845.39071950122,10324.075066666666,12687.285499999998,10008.9413,5114.0203,5338,0.0,0.0
M3,60,24951.47058277411,3741.8317369587803,5327,3965.1647461074444,4288.481703333333,7932.144699999999,4317.550166666666,4448.129266666667,5327,6.979461876127635,-17.86623964545935
M3,30,24543.870710834817,3837.8425133043697,10654,3910.0294441681535,4180.834499999999,7802.249633333333,4268.023566666667,4382.733566666667,5327,5.231876906488697,-15.758788896690179
M3,20,24368.07759711761,3892.811598952886,15981,3887.6007971176136,4127.733066666666,7749.522766666666,4253.1955,4350.025466666666,5327,4.478163707717209,-14.552209332203148
M3,15,24239.77952988755,3945.9649874364973,21308,3875.6104325661227,4089.4403383928566,7710.277571428572,4245.509397321429,4318.941790178571,5327,3.9280855812000803,-13.385484589178498
M3,12,24142.32348827072,3986.2879403999013,26635,3864.687931604049,4061.4373566666663,7679.735000000001,4240.369866666667,4296.093333333333,5327,3.510242678748332,-12.500389804511503
M3,10,24070.32408866098,4024.851883713926,31962,3858.6081519943154,4043.7856033333337,7655.388099999998,4235.9527,4276.589533333333,5327,3.2015451612973145,-11.653905541952303
M3,6,23863.905418101484,4160.596893908815,53270,3842.242758101485,3997.2461599999997,7594.157966666668,4226.045533333333,4204.213000000001,5327,2.3165248485913503,-8.674282480191264
M3,4,23685.386176068696,4286.044420751319,79905,3831.4565227353633,3964.90632,7554.7547,4217.8593,4116.409333333333,5327,1.5511233711976047,-5.920690701869802
M3,2,23323.608237687356,4555.777941746117,159810,3814.6815310206885,3908.8091733333335,7477.7293,4201.5057,3920.8825333333334,5327,0.0,0.0
