k,J,I,mejor,peor,volumen,ancho_pct,ef_ciego
1,2,4,931.5199359923377,931.5199359923377,0.8199999436552268,0.0,100.0
2,2,4,931.5199359971433,931.5199359971433,0.8199999436594572,0.0,100.00000000000001
4,2,4,1067.8399318682011,1067.8399318682013,0.9399999400248251,-2.1292861285439905e-14,100.0
7,2,4,1700.5492647025285,1700.5492647025285,1.4969623809001131,0.0,100.0
9,2,4,2542.3118691881964,2542.3118691881964,2.2379505890741163,0.0,99.99999999999997
10,2,4,3907.228382122543,3907.228382122543,3.4394616039811114,0.0,100.00000000000003
12,2,4,4179.817082915199,4179.817082915199,3.679416446228168,0.0,100.0
13,2,4,4858.02397392423,4858.023973924229,4.276429554510765,1.8721494719966436e-14,99.99999999999999
15,2,4,3814.9492293751587,3814.949229375158,3.3582299554358785,1.1920141620362956e-14,100.0
16,3,3,2294.7237358241923,2294.7237358241928,2.0200032885776342,-1.981708489728648e-14,100.0
18,1,5,732.3727059059286,732.3727059059286,0.6446942833678949,0.0,100.0
23,2,4,1204.159927292102,1204.1599272921019,1.0599999359965686,1.8882348622458047e-14,99.99999999999999
