k,J,I,uniforme,max_exc,vol_cen,ef_aco,efvol_aco,efemp_aco,vol_aco,ef_alt,efvol_alt,efemp_alt,vol_alt,exceso_aco,exceso_alt
55,1,4,False,636.115216056812,0.9786773779512614,96.73771983138332,100.0,96.73771983138332,0.9786773779512614,96.68413654747869,100.00000000000016,96.68413654747854,0.9786773779512628,0.0,1.4432899320127037e-15
200,4,1,True,173.75747400000006,0.2529000000000001,100.0000000000006,100.00000000000064,99.99999999999996,0.2529000000000017,99.99999999999964,99.99999999999962,100.00000000000004,0.2528999999999991,1.609823385706477e-15,0.0
227,4,1,True,270.3579573333335,0.3938666666666669,99.99999999999989,99.99999999999989,100.00000000000004,0.3938666666666664,99.99999999995993,99.99999999995993,100.0,0.3938666666665091,0.0,0.0
328,4,1,True,533.1552566666668,0.7835333333333335,100.0,100.0,100.0,0.7835333333333335,100.0000000000001,100.00000000000009,100.00000000000004,0.7835333333333343,0.0,7.771561172376097e-16
347,4,1,True,107.29659733333348,0.1575666666666668,100.00000000001477,100.00000000001472,100.00000000000004,0.15756666666669,100.00000000000396,100.00000000000396,100.0,0.157566666666673,2.320366121466577e-14,6.217248937900877e-15
392,4,1,True,490.8755540000002,0.7204666666666669,99.9999999999999,99.99999999999989,100.00000000000004,0.7204666666666661,99.99999999999362,99.99999999999363,100.0,0.7204666666666211,0.0,0.0
416,4,1,True,3395.135500666668,4.930633333333335,99.99999999999991,99.99999999999991,100.0,4.930633333333331,100.00000000000024,100.0000000000002,100.00000000000004,4.930633333333345,0.0,1.0658141036401504e-14
422,4,1,True,2301.918043,3.3749,99.99999999999996,100.0,100.0,3.3749,99.99999999999996,99.99999999999994,100.00000000000004,3.3748999999999985,0.0,0.0
443,4,1,True,6788.048439333334,9.971133333333334,100.0,100.0,100.00000000000004,9.971133333333334,100.00000000000136,100.00000000000136,100.00000000000004,9.97113333333347,0.0,1.3500311979441906e-13
463,2,3,False,2003.225714330284,3.133481290748199,99.9999308229024,100.0,99.9999308229024,3.1334812907481995,100.0093610535344,100.00000000000396,100.00936105353048,3.133481290748323,7.487046405074693e-08,0.0031088448032663
491,4,1,True,4708.337118,6.916599999999999,100.0,100.0,100.0,6.916599999999998,100.00000000000028,100.00000000000028,100.0,6.916600000000018,0.0,0.0039298289881795
587,2,3,False,2717.8395400269333,3.9635407680024106,95.1018895254299,100.00000000000026,95.10188952542966,3.963540768002421,95.10094332382148,100.00000000000126,95.10094332382027,3.963540768002461,5.199793573495982e-08,0.0008525850411318
613,4,1,True,4979.339274000001,7.244466666666667,99.99999999999974,99.99999999999976,100.0,7.244466666666649,99.99999999999967,99.9999999999997,100.0,7.244466666666645,0.0,0.0
638,4,1,True,1188.9853066666662,1.730666666666666,100.00000000000004,100.00000000000004,100.00000000000004,1.7306666666666666,,,,,4.440892098500626e-16,
686,3,2,False,3687.510579656622,5.5095033313261945,97.46600327009612,99.9999999999994,97.46600327009668,5.509503331326162,97.47315867661996,100.0,97.47315867661996,5.509503331326194,4.336011105721127e-09,5.0404125317982113e-14
688,1,4,False,895.0092122337995,1.3407373413733796,94.82694310247066,100.0,94.82694310247066,1.3407373413733796,94.7459181711178,99.99999999999856,94.74591817111916,1.3407373413733603,0.0,0.0
758,4,1,True,3474.681298666666,5.182533333333333,100.00000000000006,100.00000000000009,100.0,5.182533333333336,99.99999999999716,99.9999999999972,100.0,5.182533333333186,3.552713678800501e-15,0.0
802,2,3,False,2305.836365339213,3.456559632642093,95.39857161839802,100.00000000000004,95.39857161839798,3.456559632642094,95.13458131491971,99.99999999999967,95.13458131492004,3.456559632642082,5.390381763170637e-08,6.087248949349089e-08
803,2,3,False,4501.553797831652,6.748045687735766,96.97912370336222,100.00000000000004,96.9791237033622,6.748045687735768,96.97834555368198,99.99999999999925,96.97834555368271,6.748045687735716,2.5284225380062253e-08,0.0055339684492843
872,3,2,False,548.6817677599997,0.8285666666666665,99.99999843770388,99.99999999999734,99.99999843770654,0.8285666666666444,99.9987667719918,100.00000000000168,99.99876677199012,0.8285666666666804,1.8617340180604458e-07,0.0001469597518257
946,3,2,False,7129.11270882733,10.70678487471252,97.7458641892922,100.00000000000053,97.74586418929168,10.706784874712575,97.7464006910684,99.99999999999991,97.74640069106846,10.706784874712511,9.699097081039554e-09,1.191935439237568e-12
951,4,1,True,5549.325448333333,8.384566666666668,100.0,100.0,100.00000000000004,8.384566666666668,99.99999999999822,99.99999999999822,100.0,8.384566666666519,0.0,0.0050603028053447
968,3,2,False,3593.598559199999,5.559999999999999,99.9999992890884,99.99999999999916,99.99999928908926,5.559999999999951,99.99951428212898,100.00000000000088,99.99951428212812,5.560000000000047,5.548545207734179e-07,0.0003790950769313
998,4,1,True,3967.050566,6.128233333333334,100.0,100.0,100.0,6.128233333333334,99.99999999999883,99.9999999999988,100.00000000000004,6.128233333333261,0.0,0.0039947890098009
1110,1,4,False,29.76307743865198,0.044641044874388,94.8205692055536,100.0,94.8205692055536,0.044641044874388,94.82055120530543,100.00000000000053,94.82055120530497,0.0446410448743882,0.0,2.289834988289385e-16
1120,2,3,False,2460.072647303299,3.7219127151055256,96.35377317102056,99.99999999999996,96.35377317102058,3.721912715105524,96.39868274102778,99.99999999999916,96.3986827410286,3.7219127151054936,5.646934653213975e-08,4.476419235288631e-13
1188,4,1,True,4995.621665999998,7.523299999999998,100.0,100.0,100.00000000000004,7.523299999999997,99.99999999999876,99.99999999999876,100.0,7.523299999999905,0.0,0.0
1259,3,2,False,2163.4126092878764,3.249294257052127,96.5423675996345,100.0000000000008,96.54236759963372,3.249294257052153,96.54240751919176,99.99999999999956,96.5424075191922,3.249294257052113,3.5791385522010444e-08,2.3922325897984823e-08
1351,1,4,False,656.7700568662231,0.9839988866075708,94.82618014797198,99.9999999999994,94.82618014797256,0.9839988866075648,94.76343886985438,100.00000000005302,94.76343886980412,0.9839988866080924,0.0,5.216937992713612e-13
1448,2,3,False,1464.234867209597,2.1762080297480924,99.99999927648992,100.0000000000007,99.99999927648923,2.1762080297481075,100.0001100124789,100.00000000000244,100.00011001247644,2.176208029748145,3.3992214024114453e-07,6.416775172346512e-05
1503,3,2,False,1002.1082496233342,1.4741000000000013,99.99999848893634,100.0000000000015,99.99999848893484,1.4741000000000235,100.00013757726197,100.00000000000156,100.00013757726045,1.4741000000000242,3.097951648822761e-07,2.8205778694001538e-05
1689,4,1,True,480.74382503333385,0.7463333333333342,99.99999999999996,99.99999999999996,100.0,0.746333333333334,99.99999999999928,99.99999999999926,100.00000000000004,0.7463333333333287,0.0,0.0
1768,3,2,False,854.977377183334,1.3212333333333344,100.00000206515698,100.00000000000487,100.00000206515207,1.321233333333399,100.00050527739997,100.00000000000588,100.00050527739408,1.321233333333412,3.612297175131785e-07,0.0016328327418096
1831,1,4,False,611.4238158051907,0.8906180385357594,95.84634940489552,100.0,95.84634940489552,0.8906180385357594,95.88351763578048,100.0000000000007,95.88351763577982,0.8906180385357656,0.0,6.217248937900877e-15
1976,2,3,True,1909.2499060630112,2.9447332589966653,100.00000000000296,100.00000000000296,100.0,2.9447332589967528,99.99999999999952,99.99999999999952,100.0,2.9447332589966515,3.604165969284257e-07,6.587199029217672e-05
2073,4,1,True,8.91253766666677,0.0127666666666668,100.0,100.0,100.0,0.0127666666666668,100.00000000000118,100.00000000000117,100.00000000000004,0.0127666666666669,0.0,1.491862189340054e-16
2074,4,1,True,17.080424666666644,0.0244666666666666,99.99999999994442,99.99999999994442,100.0,0.024466666666653,100.0000000000076,100.0000000000076,100.0,0.0244666666666684,0.0,1.856154119295184e-15
2096,4,1,True,255.6275973333333,0.3671333333333333,99.99999999999883,99.99999999999883,100.0,0.367133333333329,99.99999999999878,99.99999999999878,100.0,0.3671333333333288,0.0,0.0
2120,3,2,False,211.0558942733339,0.3331333333333343,40.91651687631028,100.0000000000007,40.91651687631,0.3331333333333366,40.91594222071625,100.00000000000024,40.91594222071616,0.333133333333335,6.885845688087144e-08,1.062395231024582e-05
2266,3,2,False,2888.9781970691856,4.83123607007199,58.02363808030123,99.99999999999986,58.02363808030131,4.831236070071983,70.01392690178596,99.99999999999925,70.01392690178649,4.831236070071953,3.106926929064002e-07,0.0002201907599479
2407,3,2,False,250.14543097333336,0.3797,99.99999778620182,99.9999999999999,99.99999778620192,0.3796999999999996,100.0014129646186,100.00000000000068,100.00141296461793,0.3797000000000026,4.9763389020629496e-08,3.176166290136395e-05
2464,2,3,False,2337.3179955494934,3.555067627092753,94.4340278858762,99.99999999999918,94.434027885877,3.555067627092724,94.6481672848834,99.99999999999984,94.64816728488356,3.5550676270927477,3.5171909829045944e-10,2.4202861936828413e-14
2488,3,2,False,1099.824007771107,1.8726185317616684,99.99995897129898,100.00000000000024,99.99995897129877,1.8726185317616724,100.07184974274394,100.00000000000064,100.0718497427433,1.8726185317616808,6.532411611637201e-08,0.0071011352371573
2579,4,1,True,35.24148000000005,0.0496666666666667,100.00000000054816,100.00000000054814,100.00000000000004,0.0496666666669389,100.00000000000225,100.00000000000225,100.00000000000004,0.0496666666666678,2.722475023198001e-13,1.1102230246251563e-15
2601,3,2,False,1677.870273019532,2.826033848362857,52.829302413307786,99.9999999999999,52.82930241330784,2.8260338483628544,70.03657389157061,99.9999999999998,70.03657389157075,2.826033848362852,6.026347731946657e-08,8.491207736938121e-11
2625,2,3,False,615.3716427259808,0.9283982797519386,93.48002053537584,100.00000000000038,93.48002053537547,0.928398279751942,93.65741725436482,100.00000000000004,93.6574172543648,0.9283982797519388,2.2593536042059273e-08,8.731904088676856e-13
2626,4,1,False,262.7161140999998,0.4509999999999996,61.93319328545201,99.99999999999996,61.93319328545203,0.4509999999999995,77.56615443674552,100.00000000000132,77.5661544367445,0.4510000000000055,0.0,5.939693181744588e-15
2816,4,1,False,563.596474686,0.95146,61.85217034311874,100.0,61.85217034311874,0.95146,77.517942674847,99.99999999999906,77.51794267484773,0.9514599999999912,1.1102230246251563e-16,0.0
2825,1,4,True,36.928895429999976,0.5872999999999997,100.00000000000004,100.0,100.00000000000004,0.5872999999999997,99.99999999999982,99.99999999999982,100.0,0.5872999999999986,0.0,0.0
2866,3,2,False,146.93282520333344,2.179116666666667,93.0358996814276,99.99999999999986,93.03589968142772,2.179116666666664,82.10486106661351,99.99999999999947,82.10486106661394,2.179116666666656,1.2618112998907804e-08,0.0003991818221606
2868,4,1,False,475.5066941466666,0.7643666666666666,27.264879767518384,99.9999999988086,27.26487976784322,0.7643666666575599,31.45345047908212,99.9999999999972,31.453450479083,0.7643666666666453,0.0,0.0
2914,3,2,False,1554.630750717949,2.437923931623932,69.63677427239604,100.00000000000072,69.63677427239554,2.437923931623949,69.63903397360748,99.99999999999515,69.63903397361085,2.4379239316238137,4.902409558860121e-07,0.000390516018927
2935,1,4,False,626.9433191941858,0.9520034283873045,98.99249403963354,100.00000000000009,98.99249403963348,0.952003428387305,99.85660615951288,100.00000000000011,99.85660615951276,0.9520034283873056,5.551115123125784e-16,0.002976829983503
2962,4,1,False,3468.679829999999,4.907166666666665,79.54918891224317,100.00000000000004,79.54918891224312,4.907166666666667,79.54918638295983,99.99999999999504,79.54918638296377,4.907166666666423,1.7763568394002505e-15,0.0
3008,4,1,False,340.02886,0.4772,79.51240922992748,100.0,79.5124092299275,0.4772,79.51240946666884,99.99999999999623,79.51240946667183,0.4771999999999821,0.0,0.0
3016,3,2,False,906.9125503333332,1.8807333333333327,65.62734487300753,99.999999999998,65.62734487300884,1.880733333333296,65.72995010509766,99.99999999999996,65.72995010509769,1.8807333333333325,4.5823570271608105e-08,0.0042523166443699
3104,2,3,False,2840.670978609972,4.077726650258583,95.03372849091753,100.00000000000075,95.0337284909168,4.077726650258614,95.037175483405,99.9999999999933,95.03717548341136,4.077726650258311,3.2078263156876126e-08,0.002813454740274
3136,2,3,False,86.11230480093087,0.1367230916293775,90.46649263476668,100.0,90.46649263476668,0.1367230916293775,90.466145411879,100.00000000000132,90.46614541187782,0.1367230916293793,3.913536161803677e-15,1.429412144204889e-15
3203,3,2,False,2905.5234462266667,5.0818,99.99999908044276,99.9999999999994,99.99999908044336,5.08179999999997,99.99941207379923,99.9999999999998,99.99941207379943,5.081799999999991,2.966431202899855e-07,0.0001896612500353
3278,4,1,False,25.807438862068963,0.0428816091954022,80.34253168603443,100.0,80.34253168603443,0.0428816091954022,80.34253218147295,100.0,80.34253218147295,0.0428816091954022,0.0,0.0
3279,4,1,False,73.2034480000001,0.1256000000000001,80.51670154257307,100.0000000000002,80.5167015425729,0.1256000000000004,80.51670201985921,100.00000000000468,80.51670201985543,0.125600000000006,2.7755575615628914e-16,5.8841820305133305e-15
3421,4,1,False,41.53910600000007,0.0655666666666667,80.07514989975591,99.99999999999956,80.07514989975628,0.0655666666666664,80.07515023046908,99.99999999999896,80.07515023046992,0.065566666666666,0.0,0.0
3425,1,4,False,228.1224951924097,0.4173939605379473,87.64024780318411,99.99999999999989,87.64024780318421,0.4173939605379468,87.65107019075072,100.00000000000028,87.65107019075047,0.4173939605379484,0.0,1.1657341758564144e-15
3496,3,2,False,2313.840350226667,5.138833333333334,99.9999992493695,99.99999999999936,99.99999924937012,5.138833333333301,99.99879131532188,99.999999999999,99.99879131532288,5.138833333333283,1.9283711649720206e-07,0.0050318530916563
3710,1,4,False,151.62695800000006,0.2634333333333334,88.68903016348786,100.0,88.68903016348786,0.2634333333333334,88.68672152375213,100.00000000000206,88.6867215237503,0.2634333333333388,0.0,5.440092820663267e-15
3760,4,1,False,179.28794100000007,0.5260333333333335,84.1347376572462,100.00000000000004,84.13473765724618,0.5260333333333336,84.1347382784544,99.99999999999967,84.13473827845466,0.5260333333333318,1.1102230246251563e-16,0.0
3776,2,3,False,1998.637838613335,2.982400000000002,99.99999640508914,99.99999999999991,99.99999640508922,2.9823999999999997,99.9989375163515,100.00000000000122,99.99893751635028,2.9824000000000384,4.234397089630804e-07,0.0001433548323115
3801,1,4,False,1251.896191,1.7927,90.67717802883782,100.0,90.67717802883784,1.7927,90.62360566190624,100.0,90.62360566190624,1.7927000000000002,0.0,2.220446049250313e-16
3851,2,3,False,4443.330688346668,6.911766666666667,99.999999604445,100.00000000000004,99.99999960444497,6.911766666666669,99.99940033617206,100.00000000000006,99.999400336172,6.911766666666671,4.638572506099337e-07,0.000586555468937
3971,3,2,False,8210.9303047363,13.074692592592596,99.99999968653611,100.00000000000036,99.99999968653576,13.074692592592644,99.99953719826676,100.00000000000016,99.9995371982666,13.074692592592616,2.965067835702939e-07,0.0004377655690843
