frontera,mecanismo,cop_hora,cop_cuarto,dif_pct,sc_hora,sc_cuarto,ss_hora,ss_cuarto,ie_hora,ie_cuarto,gini_hora,gini_cuarto
M1,P2P,6851603.0,6810520.0,-0.5996115069714314,0.266,0.264,0.961,0.955,0.4322,0.4327,0.176,0.1798
M1,C1,6148543.0,6110599.0,-0.6171218124358946,0.229,0.225,0.827,0.815,0.0217,0.0255,0.1819,0.1849
M1,C2,6002604.0,5924253.0,-1.3052835069579771,0.229,0.225,0.827,0.815,0.0282,0.0324,0.1902,0.1947
M1,C3,6002604.0,5924253.0,-1.3052835069579771,0.229,0.225,0.827,0.815,0.0282,0.0324,0.1902,0.1947
M1,C4,6234418.0,6163715.0,-1.134075386026412,0.229,0.225,0.827,0.815,0.0552,0.0604,0.2107,0.2166
M1,C4_mensual,6437288.0,6388941.0,-0.7510460927023899,0.229,0.225,0.827,0.815,0.0383,0.042,0.1995,0.2045
M1,C5,6410311.0,6347647.0,-0.9775500751835642,0.229,0.225,0.827,0.815,0.029,0.0337,0.1889,0.1929
M3,P2P,3522423.0,3495490.0,-0.7646157204855841,0.528,0.522,0.427,0.423,0.7353,0.7087,0.1891,0.1896
M3,C1,3690879.0,3638012.0,-1.4323688205438279,0.502,0.488,0.406,0.395,0.0256,0.026,0.1518,0.1517
M3,C2,3388601.0,3321130.0,-1.9911166879783115,0.502,0.488,0.406,0.395,-0.0512,-0.0565,0.1901,0.1931
M3,C3,3388601.0,3321130.0,-1.9911166879783115,0.502,0.488,0.406,0.395,-0.0512,-0.0565,0.1901,0.1931
M3,C4,3430373.0,3375442.0,-1.6013127435413055,0.502,0.488,0.406,0.395,-0.015,-0.0194,0.1997,0.2019
M3,C4_mensual,4481221.0,4437560.0,-0.9743103497908301,0.502,0.488,0.406,0.395,-0.0247,-0.0291,0.1745,0.1772
M3,C5,3379997.0,3331229.0,-1.4428415173149522,0.502,0.488,0.406,0.395,-0.0387,-0.0434,0.1917,0.1933
